测试案例编码,清除干扰源个数,平均定位清除时间,程序运行时间
2MEW-MBMB-RNRU-9DMG,15,253.255992,6.569
XG3E-MNVY-ZFKX-Z79E,12,257.098977,4.151
THSW-FG94-PJYA-3NJG,14,280.209810,5.127
