version,n,problem,suite,episodes,clear_rate,full_clear_cases,clear_fail_total,error_count,mean_total_time_s,median_total_time_s,p95_total_time_s,max_total_time_s,mean_avg_time_per_source_s,median_avg_time_per_source_s,p95_avg_time_per_source_s,mean_move_distance_m,mean_measure_count,mean_switch_count,mean_source_count,mean_omni_count,mean_dir_count,mean_policy_runtime_s,max_abs_time_component_delta_s,mean_reacquisition_attempts,mean_reacquisition_successes,mean_no_signal_after_found,mean_targets_remaining_at_exit,mean_local_reacquisition_move_m,mean_local_reacquisition_time_s,mean_non_reacquisition_time_s,mean_coarse_successes,mean_coarse_failures,mean_intersection_attempts,mean_fallback_targets,mean_move_count,mean_long_jump_count_ge_500m,mean_long_jump_distance_ge_500m,mean_very_long_jump_count_ge_1000m,mean_backtrack_count,mean_clear_to_backbone_count,mean_clear_to_backbone_distance_m,mean_clear_delay_path_excess_m,mean_delayed_clear_count,p95_move_distance_m,max_move_distance_m,mean_backbone_points_visited,mean_backbone_measure_count,mean_search_move_distance_m,mean_distance_backbone->backbone
a970_p140,25,4,random,3,1.0,3,0,0,6779.958941,7393.196555,7618.3288235,7643.34352,493.7587648257576,477.70897,652.6687969545455,23633.128029974567,339.6666666666667,283.3333333333333,14.333333333333334,8.0,6.333333333333333,6.935393599992191,3.6453538996283896e-06,134.33333333333334,51.333333333333336,94.33333333333333,0.0,11884.973971301899,3131.3281275937134,3648.630813406287,34.666666666666664,31.0,0.0,0.6666666666666666,98.33333333333333,16.666666666666668,13812.017846771027,2.3333333333333335,3.6666666666666665,4.333333333333333,2049.646594530065,9355.57928443379,11.0,27395.644100363814,27791.71758177323,16.333333333333332,267.6666666666667,7663.660580783796,4870.085031800215
a970_p140,25,4,min_reff,2,1.0,2,0,0,7221.3046595,7221.3046595,7634.95239815,7680.913258,556.0556665178572,556.0556665178572,562.7327712267856,24686.523292920556,372.0,359.0,13.0,4.5,8.5,3.8863953499967465,2.2909925974090584e-06,71.0,21.0,59.0,0.0,7018.20953023324,1820.6419060466483,5400.662753453351,13.0,4.0,0.0,0.0,56.5,21.0,16816.268664030576,1.5,2.0,9.0,5675.112167587085,3813.649487289623,12.5,26651.261992358526,26869.566292296076,25.0,352.0,12810.925695495476,5915.102038160259
a970_p140,25,4,collinear,2,1.0,2,0,0,7047.4490335,7047.4490335,7281.395770149999,7307.389852,546.8855848452381,546.8855848452381,602.7427973845238,25157.245161383733,328.0,311.0,13.0,4.5,8.5,7.0457815999980085,1.8192204152001068e-06,76.5,34.5,52.0,0.0,10755.20820950674,2598.541641901348,4448.907391598652,23.0,1.5,0.0,0.0,65.0,22.0,18632.25811412958,1.0,2.0,2.5,1851.979168313738,15166.089579817746,13.0,25526.51147545188,25567.541065903897,25.0,300.0,11547.308680457234,7025.127547700324
a970_p140,25,4,overall,7,1.0,7,0,0,6982.483458428571,7307.389852,7669.6423366,7680.913258,526.7369710290661,548.6366612857142,653.1608907090908,24369.560142647468,345.57142857142856,312.85714285714283,13.571428571428571,6.0,7.571428571428571,6.095790671423726,3.6453538996283896e-06,99.71428571428571,37.857142857142854,72.14285714285714,0.0,10171.679627626523,2604.6216398110187,4377.861818617553,25.142857142857142,14.857142857142858,0.0,0.2857142857142857,76.85714285714286,19.428571428571427,16047.586728090484,1.7142857142857142,2.7142857142857144,5.142857142857143,3029.017493627406,9432.31656964516,12.0,27515.072194930082,27791.71758177323,21.285714285714285,301.0,10243.921499179543,5784.387752445973
