source_count,case_count,full_clear_cases,clear_rate,mean_total_time_s,mean_avg_time_per_source_s,median_avg_time_per_source_s,p95_avg_time_per_source_s
10,0,0,0.0,0.0,0.0,0.0,0.0
11,1,1,1.0,7393.196555,672.1087777272728,672.1087777272728,672.1087777272728
12,2,2,1.0,7034.5429564999995,586.2119130416667,586.2119130416667,606.6754302041667
13,0,0,0.0,0.0,0.0,0.0,0.0
14,2,2,1.0,7234.210736499999,516.7293383214285,516.7293383214285,545.4459289892857
15,0,0,0.0,0.0,0.0,0.0,0.0
16,2,2,1.0,6473.340134,404.583758375,404.583758375,470.39644883750003
