version,n,suite,episodes,clear_rate,mean_total_time_s,median_total_time_s,p95_total_time_s,max_total_time_s,mean_avg_source_s,pooled_avg_source_s,mean_move_distance_m,mean_move_time_s,mean_measure_count,mean_measure_time_s,mean_switch_count,mean_switch_time_s,mean_clear_success,mean_clear_time_s,clear_fail_total,max_abs_time_component_delta_s,mean_policy_runtime_s,p95_policy_runtime_s,max_policy_runtime_s,source_count,mean_supplement_measures_per_source,first_supplement_clearable_rate,off_search_supplement_total,off_search_supplement_per_source,found_after_extra_move_total_m,found_after_extra_move_per_source_m,off_search_supplement_move_total_m,off_search_supplement_move_per_source_m,threshold_chasing_20_30_total,waited_search_supplement_total,wait_saved_dedicated_proxy_total,first_supplement_le20_or_near_count,first_supplement_le20_or_near_rate,first_supplement_20_25_count,first_supplement_20_25_rate,first_supplement_25_30_count,first_supplement_25_30_rate,first_supplement_30_50_count,first_supplement_30_50_rate,first_supplement_gt50_count,first_supplement_gt50_rate,first_supplement_unknown_count,first_supplement_unknown_rate,route_scored_supplement_count,mean_selected_route_marginal_s,abandoned_high_p_clear_count,abandoned_high_p_clear_rate,mean_rejected_high_p_clear_route_marginal_s,mean_selected_route_marginal_when_abandon_s
v6,8,random,10,1.0,3662.6044705,3532.1826579999997,4236.56342145,4424.818878,286.3383215975483,279.58812751908397,14467.022346174612,2893.4044692349225,118.2,591.0,112.7,112.7,13.1,65.5,0,2.8614076654776e-06,6.428694630000246,8.311772090000158,8.593858100000944,131,1.7633587786259541,0.3282442748091603,140,1.0687022900763359,99872.14421622055,762.3827802764928,60916.64751535803,465.0125764531148,30,47,13,43,0.3282442748091603,16,0.12213740458015267,14,0.10687022900763359,37,0.2824427480916031,21,0.16030534351145037,0,0.0,187,29.22593552382049,77,0.4117647058823529,84.95227650651367,11.635558775820735
v6,8,min_reff,5,1.0,4008.2456506000003,4051.493721,4338.202486,4361.575194,291.87051844752745,290.4525833768116,15866.228252800141,3173.245650560028,128.6,643.0,123.0,123.0,13.8,69.0,0,3.920360541087575e-06,4.451739700000326,5.577768100002141,5.684168800002226,69,1.4782608695652173,0.5217391304347826,68,0.9855072463768116,50563.70065789906,732.8072559115806,28657.26503561385,415.32268167556305,16,19,7,36,0.5217391304347826,11,0.15942028985507245,7,0.10144927536231885,10,0.14492753623188406,5,0.07246376811594203,0,0.0,87,26.920409792575846,46,0.5287356321839081,106.95365070973108,18.33870342149658
v6,8,collinear,5,1.0,2618.0076436,2629.079487,2834.9272512,2845.268866,192.3096387007784,189.71069881159423,9731.038207258893,1946.2076414517785,101.4,507.0,95.8,95.8,13.8,69.0,0,3.335164819873171e-06,8.979981559998851,11.768703239997558,11.784028399997624,69,1.7971014492753623,0.30434782608695654,71,1.0289855072463767,24833.345254006515,359.90355440589155,16188.247453592729,234.6122819361265,20,16,4,21,0.30434782608695654,12,0.17391304347826086,7,0.10144927536231885,17,0.2463768115942029,12,0.17391304347826086,0,0.0,87,10.350001492284562,37,0.42528735632183906,55.284117744023455,4.7904601752763725
v6,8,overall,20,1.0,3487.8655588,3532.1826579999997,4364.7373781999995,4424.818878,264.2142000858506,259.3208593903346,13632.827788102066,2726.5655576204126,116.6,583.0,111.05,111.05,13.45,67.25,0,3.920360541087575e-06,6.572277629999917,11.711233889997311,11.784028399997624,269,1.6988847583643123,0.37174721189591076,279,1.037174721189591,175269.19012812607,651.5583276138516,105762.16000456463,393.1678810578611,66,82,24,100,0.37174721189591076,39,0.1449814126394052,28,0.10408921933085502,64,0.2379182156133829,38,0.1412639405204461,0,0.0,361,24.12126239539415,160,0.44321329639889195,84.41690987611281,11.979783810076658
