version,suite,seed,channel,time_s,selected_x,selected_y,selected_search_index,selected_p_clear,selected_route_marginal_s,selected_expected_future_cost_s,selected_objective_s,highest_p_clear_x,highest_p_clear_y,highest_p_clear,highest_p_clear_route_marginal_s,highest_p_clear_objective_s,abandoned_high_p_clear
v6,random,0,2,502.198537,1364.7835889858056,319.2555990631297,,1.0,1.4722542767256073,55.44304933982739,61.915303616553,1364.7835889858056,319.2555990631297,1.0,1.4722542767256073,61.915303616553,0
v6,random,0,9,527.918137,1412.5653626381127,405.5021525941404,,0.25,24.015918977023603,182.7326418980147,211.7485608750383,946.0590116920033,963.5148544863598,0.4166666666666667,79.29748990085,248.49963207958575,1
v6,random,0,1,598.154865,1342.0589840487705,718.851449924303,,0.9444444444444444,4.188320103308115,107.42547774054121,116.61379784384933,1342.0589840487705,718.851449924303,0.9444444444444444,4.188320103308115,116.61379784384933,0
v6,random,0,9,845.293021,977.6284088058873,682.0563576276083,,1.0,12.03337446361138,104.6711651130984,121.70453957670978,977.6284088058873,682.0563576276083,1.0,12.03337446361138,121.70453957670978,0
v6,random,0,12,1109.579568,796.6182165816278,521.6150461466018,,1.0,27.973414471307706,6.484957398961566,39.458371870269275,796.6182165816278,521.6150461466018,1.0,27.973414471307706,39.458371870269275,0
v6,random,0,18,1363.081033,5.743963417062496e-14,938.0604140004557,3,0.16666666666666666,0.0,185.8983168786689,190.8983168786689,-475.4475421902696,750.0000000000001,0.3333333333333333,0.045671744620904065,207.40750818717063,1
v6,random,0,13,1387.081033,5.743963417062496e-14,938.0604140004557,3,0.25,0.0,194.38896694348603,199.38896694348603,5.743963417062496e-14,938.0604140004557,0.25,0.0,199.38896694348603,0
v6,random,0,5,1411.081033,5.743963417062496e-14,938.0604140004557,3,0.5,0.0,185.61871251954,190.61871251954,18.50752780651851,973.6433915408561,0.5277777777777778,10.886065199766904,193.59381759371783,1
v6,random,0,18,1437.188028,45.966669872373586,991.5603945313345,,1.0,3.0150723092499447,7.222096755798701,15.237169065048645,45.966669872373586,991.5603945313345,1.0,3.0150723092499447,15.237169065048645,0
v6,random,0,5,1584.226184,54.21911329919271,1668.3474899262628,,1.0,107.15177564118926,54.857348551538806,167.00912419272805,54.21911329919271,1668.3474899262628,1.0,107.15177564118926,167.00912419272805,0
v6,random,0,10,1754.363408,-239.6064505501733,1657.233344212164,,0.3333333333333333,26.539369985481017,192.6953449203976,224.2347149058786,-922.6191524423926,974.2206423199448,0.6388888888888888,108.02722570494984,250.46308773594572,1
v6,random,0,13,1908.979878,-431.4640828268833,966.4765323614425,,1.0,2.9617035738708637,6.681236465593951,14.642940039464815,-431.4640828268833,966.4765323614425,1.0,2.9617035738708637,14.642940039464815,0
v6,random,0,14,2301.900885,-938.0604140004557,1.148792683412499e-13,5,0.1111111111111111,0.0,200.52408381431485,205.52408381431485,-836.6814045272796,232.64371720557517,0.16666666666666666,1.796578875243199,226.48921888593975,1
v6,random,0,8,2400.005916,-643.3485822366049,-180.36787122332908,,1.0,33.37074741263052,6.120694691843681,44.4914421044742,-643.3485822366049,-180.36787122332908,1.0,33.37074741263052,44.4914421044742,0
v6,random,0,16,2723.975395,-1.7231890251187485e-13,-938.0604140004557,7,0.3333333333333333,0.0,182.06082712078708,187.06082712078708,166.7595360141211,-706.3460241824115,0.4166666666666667,21.223814537077146,225.76356758195095,1
v6,random,0,3,2747.975395,-1.7231890251187485e-13,-938.0604140004557,7,0.3333333333333333,0.0,166.90271604963607,171.90271604963607,-1.7231890251187485e-13,-938.0604140004557,0.3333333333333333,0.0,171.90271604963607,0
v6,random,0,6,2906.463129,654.0087309855882,-904.3327151831563,,0.08333333333333333,10.970000222760689,208.32096224869304,224.29096247145372,654.0087309855882,-904.3327151831563,0.08333333333333333,10.970000222760689,224.29096247145372,0
v6,random,0,7,2920.233362,625.9106262152775,-931.1638425907705,,0.4444444444444444,3.6020719633234535,154.26142166900866,162.8634936323321,811.2058649396474,-739.6325972708183,0.5833333333333334,83.27618843122059,252.9365880392678,1
v6,random,0,16,2960.679152,674.9513326036848,-1096.2632658154575,,1.0,1.569332581609956,104.94178533136834,111.51111791297829,674.9513326036848,-1096.2632658154575,1.0,1.569332581609956,111.51111791297829,0
v6,random,0,6,3059.935433,810.7186874327616,-1492.422109990986,,0.8333333333333334,58.10506147491273,114.54400630998546,177.6490677848982,993.7313893249807,-1675.4348118832052,1.0,101.98315517061482,211.9855842682514,1
v6,random,0,20,3417.292214,66.41329976559655,-1444.7776187835652,,1.0,51.114820012437754,105.04333076810941,161.15815078054717,66.41329976559655,-1444.7776187835652,1.0,51.114820012437754,161.15815078054717,0
v6,random,1,3,324.612083,-663.3088799023825,-663.3088799023824,6,0.25,0.0,171.35287994162746,176.35287994162746,-1.7231890251187485e-13,-938.0604140004557,0.3888888888888889,0.0,193.47290267939775,1
v6,random,1,9,531.020149,-211.8316953687459,-925.4051583388955,,0.16666666666666666,4.203508112720783,228.2980811495797,237.50158926230048,-1077.8570991531847,-1425.4051583388955,0.5833333333333334,118.20642018362332,265.1370233059132,1
v6,random,1,13,772.484834,-159.60022427579588,-1364.2722852800498,,1.0,35.30367352725898,58.67385694551417,98.97753047277314,-159.60022427579588,-1364.2722852800498,1.0,35.30367352725898,98.97753047277314,0
v6,random,1,9,993.77761,-647.8168837077601,-1532.900336136417,,1.0,71.53613740717128,7.233724144329431,83.76986155150071,-647.8168837077601,-1532.900336136417,1.0,71.53613740717128,83.76986155150071,0
v6,random,1,16,1139.42779,-1192.1088597232279,-1095.5211358634288,,0.6666666666666666,1.6760371492989634,153.2542862054839,159.93032335478287,-1192.1088597232279,-95.52113586342887,0.7777777777777778,12.697964037882457,163.55040553239712,1
v6,random,1,4,1227.411184,-1480.7841561014377,-804.491074930372,,0.4444444444444444,1.4493955784405443,174.9849761953603,181.43437177380085,-1480.7841561014377,-804.491074930372,0.4444444444444444,1.4493955784405443,181.43437177380085,0
v6,random,1,17,1239.10416,-1481.6046615267405,-776.0380235955474,,0.0,5.17018851039029,238.43669663810397,248.60688514849426,-981.6046615267403,89.98738018889111,0.027777777777777776,7.552014361001056,249.29481645851,1
v6,random,1,16,1302.030344,-1620.9750015424092,-556.9852397926581,,1.0,0.21652430862468464,7.265424405033496,12.48194871365818,-1620.9750015424092,-556.9852397926581,1.0,0.21652430862468464,12.48194871365818,0
v6,random,1,17,1410.458976,-1734.4934061884555,-83.25321633853656,,0.75,44.46700967754293,57.79148015774298,107.25848983528591,-1234.4934061884555,-83.25321633853656,1.0,0.0347181849538174,109.55397073254977,1
v6,random,1,4,1482.936808,-1482.702735662859,-259.5755217990669,,1.0,27.842718705555512,6.674850829959846,39.51756953551536,-1482.702735662859,-259.5755217990669,1.0,27.842718705555512,39.51756953551536,0
v6,random,1,8,1872.196143,-663.3088799023824,663.3088799023825,4,0.3611111111111111,0.0,213.46272774051576,218.46272774051576,-976.3116066642006,919.3527435618118,0.4722222222222222,99.8424830944059,265.0697846156978,1
v6,random,1,8,2040.869538,-1031.6516426140315,1102.7099469434975,,0.8055555555555556,60.02896964624597,116.09632209776909,181.12529174401504,-1339.664344506251,1069.2162978896072,1.0,162.04079944292266,222.12441465943166,1
v6,random,1,8,2098.842253,-1217.558774886104,1291.3663875052848,,1.0,52.85204943989686,105.57274607144167,163.42479551133852,-1217.558774886104,1291.3663875052848,1.0,52.85204943989686,163.42479551133852,0
v6,random,1,11,2493.862726,-57.29454432632099,967.5604639517726,,0.25,1.856607948169767,191.17847431015593,198.0350822583257,9.692753781459828,1217.5604639517728,0.6666666666666666,66.16298821293617,211.3988227547053,1
v6,random,1,11,2637.013317,-0.418588045518959,1199.3698969209838,,1.0,49.216182234901,104.98169667946726,159.19787891436826,-0.418588045518959,1199.3698969209838,1.0,49.216182234901,159.19787891436826,0
v6,random,1,19,3177.334777,1094.2514660951679,564.0241858610273,,1.0,8.573544548969153,55.543875517025725,69.11742006599488,1094.2514660951679,564.0241858610273,1.0,8.573544548969153,69.11742006599488,0
v6,random,1,14,3280.965344,1195.8101608939621,628.6174167459776,,0.75,12.887471189476003,98.35609678910765,116.24356797858366,1070.8101608939621,1345.1237676920873,0.8055555555555556,211.00574555613207,339.37675020499887,1
v6,random,1,14,3366.93506,1369.9407011389374,994.1046661259131,,1.0,161.86130430560024,6.757665241086737,173.61896954668697,1369.9407011389374,994.1046661259131,1.0,161.86130430560024,173.61896954668697,0
v6,random,1,7,3743.197327,919.4005121703482,-422.18152785732883,,0.4166666666666667,11.275889659726715,185.53703079514986,201.81292045487658,1602.4132140625675,260.8311740348905,0.8333333333333334,262.663157799673,399.58893162661064,1
v6,random,1,7,3863.1181,1411.9205597427447,-718.1436954184135,,1.0,194.69500799127565,105.276647064644,304.97165505591965,1411.9205597427447,-718.1436954184135,1.0,194.69500799127565,304.97165505591965,0
v6,random,2,10,360.612083,663.3088799023823,-663.3088799023825,8,0.3055555555555556,0.0,183.29387778340782,188.29387778340782,-23.651319648086655,-782.7944873071973,0.3333333333333333,17.963643718223693,203.55043370859116,1
v6,random,2,16,501.033084,800.0429237267915,-1136.0362205236306,,0.75,37.26588864714358,104.10140741221605,146.36729605935963,1409.8323209156479,-709.2595252269938,0.8888888888888888,57.5797364680659,185.98619750333293,1
v6,random,2,16,581.33177,1151.5227766532696,-1132.9470598386235,,1.0,2.9400242354663533,6.511361995874104,14.451386231340457,1151.5227766532696,-1132.9470598386235,1.0,2.9400242354663533,14.451386231340457,0
v6,random,2,2,724.116326,1526.455369940488,-560.9541203360056,,1.0,0.24195705596594053,88.47112944941233,93.71308650537827,1526.455369940488,-560.9541203360056,1.0,0.24195705596594053,93.71308650537827,0
v6,random,2,14,798.299984,1270.7304564607007,-786.4093208821781,,0.6666666666666666,0.9267527929978314,118.73400982206638,124.66076261506421,1206.0256951850706,-44.927864309911,0.75,35.454536923794876,180.49401791885282,1
v6,random,2,4,841.921185,1158.41987015521,-937.3073020759928,,0.5555555555555556,14.936170395714953,129.36399399589888,149.30016439161383,1408.41987015521,-254.29460018377347,0.7777777777777778,26.102117139651682,159.6141608131802,1
