seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,no_signal,,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,no_signal,,,0.0,0.0
5,23.0,measure,0.0,0.0,4,no_signal,,,0.0,0.0
6,29.0,measure,0.0,0.0,5,no_signal,,,0.0,0.0
7,35.0,measure,0.0,0.0,6,no_signal,,,0.0,0.0
8,41.0,measure,0.0,0.0,7,no_signal,,,0.0,0.0
9,47.0,measure,0.0,0.0,8,direction,198.66,,0.0,0.0
10,53.0,measure,0.0,0.0,9,no_signal,,,0.0,0.0
11,59.0,measure,0.0,0.0,10,direction,286.76,,0.0,0.0
12,65.0,measure,0.0,0.0,11,no_signal,,,0.0,0.0
13,71.0,measure,0.0,0.0,12,no_signal,,,0.0,0.0
14,77.0,measure,0.0,0.0,13,no_signal,,,0.0,0.0
15,83.0,measure,0.0,0.0,14,direction,125.88,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,direction,135.67,,0.0,0.0
18,101.0,measure,0.0,0.0,17,no_signal,,,0.0,0.0
19,107.0,measure,0.0,0.0,18,no_signal,,,0.0,0.0
20,113.0,measure,0.0,0.0,19,no_signal,,,0.0,0.0
21,119.0,measure,0.0,0.0,20,no_signal,,,0.0,0.0
22,319.0,measure,-970.0,1.1879073951729327e-13,1,direction,96.32,,970.0,970.0
23,325.0,measure,-970.0,1.1879073951729327e-13,2,no_signal,,,0.0,970.0
24,331.0,measure,-970.0,1.1879073951729327e-13,3,no_signal,,,0.0,970.0
25,337.0,measure,-970.0,1.1879073951729327e-13,4,no_signal,,,0.0,970.0
26,343.0,measure,-970.0,1.1879073951729327e-13,5,direction,174.53,,0.0,970.0
27,349.0,measure,-970.0,1.1879073951729327e-13,6,no_signal,,,0.0,970.0
28,355.0,measure,-970.0,1.1879073951729327e-13,7,no_signal,,,0.0,970.0
29,361.0,measure,-970.0,1.1879073951729327e-13,8,direction,319.95,,0.0,970.0
30,367.0,measure,-970.0,1.1879073951729327e-13,9,no_signal,,,0.0,970.0
31,373.0,measure,-970.0,1.1879073951729327e-13,10,no_signal,,,0.0,970.0
32,379.0,measure,-970.0,1.1879073951729327e-13,11,no_signal,,,0.0,970.0
33,385.0,measure,-970.0,1.1879073951729327e-13,12,no_signal,,,0.0,970.0
34,391.0,measure,-970.0,1.1879073951729327e-13,13,no_signal,,,0.0,970.0
35,397.0,measure,-970.0,1.1879073951729327e-13,14,direction,64.32,,0.0,970.0
36,403.0,measure,-970.0,1.1879073951729327e-13,15,no_signal,,,0.0,970.0
37,409.0,measure,-970.0,1.1879073951729327e-13,16,direction,68.69,,0.0,970.0
38,415.0,measure,-970.0,1.1879073951729327e-13,17,direction,165.35,,0.0,970.0
39,421.0,measure,-970.0,1.1879073951729327e-13,18,no_signal,,,0.0,970.0
40,427.0,measure,-970.0,1.1879073951729327e-13,19,no_signal,,,0.0,970.0
41,433.0,measure,-970.0,1.1879073951729327e-13,20,no_signal,,,0.0,970.0
42,510.61317,clear,-691.8664164056185,-233.36349707664294,8,success,,1,363.06585090158677,1333.0658509015868
43,643.809227,measure,-485.00000000000045,-840.0446416709053,20,no_signal,,,640.9802847535226,1974.0461356551095
44,649.809227,measure,-485.00000000000045,-840.0446416709053,19,no_signal,,,0.0,1974.0461356551095
45,655.809227,measure,-485.00000000000045,-840.0446416709053,18,no_signal,,,0.0,1974.0461356551095
46,661.809227,measure,-485.00000000000045,-840.0446416709053,17,no_signal,,,0.0,1974.0461356551095
47,667.809227,measure,-485.00000000000045,-840.0446416709053,16,no_signal,,,0.0,1974.0461356551095
48,673.809227,measure,-485.00000000000045,-840.0446416709053,15,no_signal,,,0.0,1974.0461356551095
49,679.809227,measure,-485.00000000000045,-840.0446416709053,14,no_signal,,,0.0,1974.0461356551095
50,685.809227,measure,-485.00000000000045,-840.0446416709053,13,no_signal,,,0.0,1974.0461356551095
51,691.809227,measure,-485.00000000000045,-840.0446416709053,12,no_signal,,,0.0,1974.0461356551095
52,697.809227,measure,-485.00000000000045,-840.0446416709053,11,no_signal,,,0.0,1974.0461356551095
53,703.809227,measure,-485.00000000000045,-840.0446416709053,10,direction,14.15,,0.0,1974.0461356551095
54,709.809227,measure,-485.00000000000045,-840.0446416709053,9,no_signal,,,0.0,1974.0461356551095
55,715.809227,measure,-485.00000000000045,-840.0446416709053,7,no_signal,,,0.0,1974.0461356551095
56,721.809227,measure,-485.00000000000045,-840.0446416709053,6,no_signal,,,0.0,1974.0461356551095
57,727.809227,measure,-485.00000000000045,-840.0446416709053,5,no_signal,,,0.0,1974.0461356551095
58,733.809227,measure,-485.00000000000045,-840.0446416709053,4,no_signal,,,0.0,1974.0461356551095
59,739.809227,measure,-485.00000000000045,-840.0446416709053,3,no_signal,,,0.0,1974.0461356551095
60,745.809227,measure,-485.00000000000045,-840.0446416709053,2,no_signal,,,0.0,1974.0461356551095
61,751.809227,measure,-485.00000000000045,-840.0446416709053,1,no_signal,,,0.0,1974.0461356551095
62,898.330807,clear,201.1932809993778,-667.2797189291894,10,success,,1,707.6078980753696,2681.654033730479
63,969.781984,measure,485.0000000000001,-840.0446416709054,1,no_signal,,,332.25588374000137,3013.9099174704807
64,975.781984,measure,485.0000000000001,-840.0446416709054,2,direction,328.15,,0.0,3013.9099174704807
65,981.781984,measure,485.0000000000001,-840.0446416709054,3,no_signal,,,0.0,3013.9099174704807
66,987.781984,measure,485.0000000000001,-840.0446416709054,4,no_signal,,,0.0,3013.9099174704807
67,993.781984,measure,485.0000000000001,-840.0446416709054,5,no_signal,,,0.0,3013.9099174704807
68,999.781984,measure,485.0000000000001,-840.0446416709054,6,no_signal,,,0.0,3013.9099174704807
69,1005.781984,measure,485.0000000000001,-840.0446416709054,7,no_signal,,,0.0,3013.9099174704807
70,1011.781984,measure,485.0000000000001,-840.0446416709054,9,no_signal,,,0.0,3013.9099174704807
71,1017.781984,measure,485.0000000000001,-840.0446416709054,11,no_signal,,,0.0,3013.9099174704807
72,1023.781984,measure,485.0000000000001,-840.0446416709054,12,direction,11.19,,0.0,3013.9099174704807
73,1029.781984,measure,485.0000000000001,-840.0446416709054,13,no_signal,,,0.0,3013.9099174704807
74,1035.781984,measure,485.0000000000001,-840.0446416709054,14,no_signal,,,0.0,3013.9099174704807
75,1041.781984,measure,485.0000000000001,-840.0446416709054,15,no_signal,,,0.0,3013.9099174704807
76,1047.781984,measure,485.0000000000001,-840.0446416709054,16,no_signal,,,0.0,3013.9099174704807
77,1053.781984,measure,485.0000000000001,-840.0446416709054,17,no_signal,,,0.0,3013.9099174704807
78,1059.781984,measure,485.0000000000001,-840.0446416709054,18,no_signal,,,0.0,3013.9099174704807
79,1065.781984,measure,485.0000000000001,-840.0446416709054,19,no_signal,,,0.0,3013.9099174704807
80,1071.781984,measure,485.0000000000001,-840.0446416709054,20,no_signal,,,0.0,3013.9099174704807
81,1412.799841,measure,-970.0000000000009,-1680.0892833418106,20,no_signal,,,1680.0892833418118,4693.999200812293
82,1418.799841,measure,-970.0000000000009,-1680.0892833418106,19,no_signal,,,0.0,4693.999200812293
