avg_time_per_source_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,deferred_targets,dir_count,discovered_but_not_cleared,error,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
498.847586375,0,16,80.0,16,58,25,15,1,10,0,,0.0,0,0,0,0,0,90,12749.068752546078,6,3005.8137505092154,271,1355.0,25,31832.806931638133,6366.561386327627,27,0,0,7,0,67,4975.747631490784,16,16,6,48.94165690000227,4,90,31,0,0,16,0,1,random,180,180.0,0,0,stalled_without_task,-4.327626811573282e-06,16,7981.561382,w5pro,0,0,0
651.458258,0,14,70.0,14,15,12,25,1,9,0,,0.0,0,0,0,0,0,28,3974.371215593587,2,936.8742431187173,287,1435.0,12,36817.07806076816,7363.415612153632,27,0,0,0,0,20,8183.541368881283,14,14,5,62.305719600000884,4,28,12,0,10000,14,0,1,min_reff,252,252.0,0,0,stalled_without_task,-1.5363184502348304e-07,14,9120.415612,w5pro,0,0,0
