strategy,suite,seed,channel,kind,first_found_time_s,clear_time_s,found_to_clear_s,supplement_measure_count,reacquisition_attempts,reacquisition_successes,reacquisition_no_signal,reacquisition_move_m,reacquisition_switch_count,reacquisition_time_s,mean_planned_step_m,max_planned_step_m,coarse_probe_count,intersection_probe_count,fallback_probe_count,cleared
w6_persistent_bearing,random,2,10,omni,59.0,1990.251563,1931.251563,11,10,7,3,613.9831208150648,6,178.79662416301295,194.80020007909695,500.0,6,0,0,1
w6_persistent_bearing,random,2,11,dir,65.0,2446.244485,2381.244485,11,10,6,4,931.4069071351321,7,243.28138142702642,232.851726783783,499.80274635194064,4,0,0,1
w6_persistent_bearing,random,2,12,dir,366.0,4186.868903,3820.8689029999996,8,7,3,4,672.413186801592,6,175.4826373603184,425.7200525120196,500.0,2,0,0,1
w6_persistent_bearing,random,2,13,dir,77.0,1728.462028,1651.462028,13,12,6,6,650.4864377804528,6,196.09728755609055,86.75151082154733,335.41363515923763,8,0,0,1
w6_persistent_bearing,random,2,14,omni,1025.010204,3454.426723,2429.4165190000003,4,1,0,1,0.0,1,6.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,2,15,omni,89.0,1851.89338,1762.89338,10,9,6,3,423.1949213890303,7,136.63898427780606,136.29109380799963,354.4826995615266,5,0,0,1
w6_persistent_bearing,random,2,16,omni,2064.654311,3016.15381,951.499499,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,2,17,dir,336.0,1380.894684,1044.894684,4,3,3,0,390.0121539310897,3,96.00243078621794,390.01215393108976,390.01215393108976,1,0,0,1
w6_persistent_bearing,random,2,19,dir,2430.794719,5174.80922,2744.014501,23,22,4,18,1800.5824691508888,1,471.1164938301778,144.53125,500.0,22,0,0,1
w6_persistent_bearing,random,2,20,omni,2436.794719,2786.94141,350.1466909999999,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,1,dir,2897.537156,3732.792541,835.2553849999999,12,10,2,8,1439.344762070291,1,338.8689524140582,287.5,500.0,10,0,0,1
w6_persistent_bearing,random,3,2,omni,426.0,1226.687069,800.6870690000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,5,dir,29.0,6679.442756,6650.442756,34,33,8,25,1535.1272861442387,22,494.02545722884776,235.57692307692307,500.0,13,0,0,1
w6_persistent_bearing,random,3,8,omni,5589.084005,6177.876025,588.7920199999999,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,10,dir,5010.084005,6309.753703,1299.6696980000006,5,4,3,1,427.8641542769231,4,109.57283085538462,427.86415427692316,427.86415427692316,1,0,0,1
w6_persistent_bearing,random,3,11,omni,943.918372,6937.192934,5993.274562,19,18,2,16,0.0,18,108.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,12,omni,949.918372,7017.437102,6067.51873,19,18,2,16,0.0,18,108.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,14,omni,83.0,1105.192158,1022.1921580000001,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,16,omni,2562.083437,3065.191199,503.1077620000001,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,3,18,dir,985.918372,6644.255716,5658.337344,20,19,2,17,493.8668354258343,19,212.77336708516685,493.86683542583427,493.86683542583427,1,0,0,1
w6_persistent_bearing,random,3,19,dir,3869.727773,4936.08091,1066.3531369999996,9,8,8,0,1216.7656849917769,3,286.35313699835535,202.79428083196282,500.0,6,0,0,1
w6_persistent_bearing,random,4,1,omni,1974.776455,2737.338042,762.5615869999999,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,4,2,omni,1980.776455,2649.397343,668.6208880000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,4,4,omni,23.0,556.700998,533.700998,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,4,5,dir,5289.483769,6005.591774,716.108005,4,1,1,0,337.14729681724515,0,72.42945936344903,481.73741683256685,481.73741683256685,1,0,0,1
w6_persistent_bearing,random,4,7,omni,41.0,1453.769143,1412.769143,8,7,6,1,681.3002511556014,3,174.26005023112026,136.26005023112026,353.26596854098483,5,0,0,1
w6_persistent_bearing,random,4,9,omni,53.0,576.114965,523.114965,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,4,10,omni,1617.228323,2959.374284,1342.145961,4,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,4,13,omni,2028.776455,2699.688422,670.9119670000002,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,4,15,omni,89.0,2168.172747,2079.172747,6,5,2,3,241.1481328346735,5,78.2296265669347,241.14813283467353,241.14813283467353,1,0,0,1
w6_persistent_bearing,random,4,16,omni,95.0,1762.306924,1667.306924,5,3,3,0,1068.7202680615835,3,231.7440536123167,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,4,17,omni,101.0,6224.02253,6123.02253,22,19,2,17,0.0,19,114.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,1,omni,5.0,1224.788801,1219.788801,8,6,6,0,321.364239412854,2,96.2728478825708,194.3608513562492,500.0,6,0,0,1
w6_persistent_bearing,random,5,2,omni,325.0,1527.293134,1202.293134,4,3,3,0,534.5886528057424,1,122.91773056114849,267.29432640287126,357.4784175291412,2,0,0,1
w6_persistent_bearing,random,5,3,dir,3444.360127,3803.25794,358.89781300000004,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,4,omni,337.0,2305.546999,1968.5469990000001,5,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,6,dir,35.0,5729.788048,5694.788048,21,19,3,16,808.5487034965306,19,275.7097406993061,500.0,500.0,2,0,0,1
w6_persistent_bearing,random,5,7,omni,41.0,5542.496101,5501.496101,19,15,0,15,0.0,15,90.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,8,omni,704.0,3155.356851,2451.356851,9,8,5,3,880.2859359324474,7,223.05718718648947,440.14296796622375,500.0,2,0,0,1
w6_persistent_bearing,random,5,9,omni,53.0,5360.96829,5307.96829,19,18,3,15,0.0,18,108.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,11,omni,65.0,856.55046,791.55046,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,12,omni,71.0,5506.827716,5435.827716,19,15,2,13,0.0,15,90.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,13,dir,1313.855044,6819.533476,5505.678432,21,18,1,17,0.0,18,108.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,5,15,omni,403.0,2411.062549,2008.0625490000002,6,4,4,0,500.0,4,124.0,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,5,17,omni,101.0,1159.730771,1058.730771,4,2,2,0,633.0760937647258,2,138.61521875294517,378.79905020814977,500.0,2,0,0,1
w6_persistent_bearing,random,5,18,dir,107.0,5481.007594,5374.007594,19,16,1,15,0.0,16,96.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,1,dir,6001.320967,6254.777288,253.45632100000057,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,2,dir,2764.946967,9045.773406,6280.826439,21,20,2,18,2404.263755078232,11,591.8527510156464,233.80030202243262,437.75375697817174,11,0,0,1
w6_persistent_bearing,random,6,3,dir,2164.936763,4020.209618,1855.2728549999997,6,5,3,2,192.12249986010622,5,68.42449997202124,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,6,4,omni,23.0,8601.673572,8578.673572,25,24,10,14,1027.455453165748,19,344.4910906331496,214.46947934772618,500.0,6,0,0,1
w6_persistent_bearing,random,6,6,dir,4192.139238,8235.09925,4042.9600119999996,6,2,0,2,0.0,2,12.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,8,dir,4983.763497,8145.88795,3162.1244530000004,24,23,4,19,1072.9334067260374,3,332.58668134520747,156.99404761904762,500.0,21,0,0,1
w6_persistent_bearing,random,6,9,dir,2200.936763,3442.350968,1241.414205,8,7,2,5,803.9328591809053,3,198.78657183618105,240.9831436359721,415.07569276754094,5,0,0,1
w6_persistent_bearing,random,6,10,omni,59.0,8515.374272,8456.374272,22,21,9,12,971.7463774251278,20,319.34927548502554,414.98212828564783,500.0,3,0,0,1
w6_persistent_bearing,random,6,11,dir,5953.320967,6898.393952,945.0729850000007,21,20,5,15,2080.103778604218,0,516.0207557208436,188.28125,500.0,20,0,0,1
w6_persistent_bearing,random,6,12,dir,4597.753293,8401.601406,3803.848113,6,3,1,2,894.8943480875051,3,196.97886961750103,448.48801286582403,448.48801286582403,1,0,0,1
w6_persistent_bearing,random,6,14,dir,1055.934623,1310.089064,254.1544409999999,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,15,omni,89.0,572.036733,483.036733,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,16,dir,1865.861169,8756.538084,6890.676915,14,11,1,10,0.0,11,66.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,18,omni,2242.936763,3522.685678,1279.7489149999997,3,1,0,1,0.0,1,6.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,6,19,dir,113.0,7609.467762,7496.467762,42,41,5,36,2349.2867243889755,20,694.8573448777951,111.36252851142919,500.0,22,0,1,1
w6_persistent_bearing,random,6,20,dir,119.0,7255.984507,7136.984507,22,21,5,16,8240.977840504518,17,1770.1955681009035,380.13479551728466,500.0,3,0,0,1
w6_persistent_bearing,random,7,1,omni,6799.926727,7646.476264,846.5495369999999,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,7,2,dir,7079.815642,7341.864959,262.0493170000009,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,7,3,omni,1082.012174,3449.513788,2367.5016140000002,7,6,4,2,512.4706485715279,6,138.4941297143056,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,7,4,omni,5891.11721,6349.507261,458.3900509999994,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,7,5,omni,29.0,4433.754562,4404.754562,17,16,7,9,1185.578502274555,11,328.115700454911,197.59641704575915,500.0,6,0,0,1
w6_persistent_bearing,random,7,6,dir,35.0,5444.467613,5409.467613,27,26,6,20,1388.490650845959,16,423.6981301691918,269.2307692307692,500.0,13,0,0,1
w6_persistent_bearing,random,7,9,omni,53.0,1752.834386,1699.834386,6,4,4,0,630.3032152087239,1,147.06064304174478,116.22775095198864,253.7157472027347,4,0,0,1
w6_persistent_bearing,random,7,10,dir,4106.638861,5049.936871,943.2980099999995,8,7,2,5,1423.616531425301,2,321.7233062850602,416.6666666666667,500.0,6,0,0,1
w6_persistent_bearing,random,7,13,dir,77.0,5630.453402,5553.453402,40,39,4,35,2900.1521428192627,16,791.0304285638525,129.59134615384616,500.0,24,0,2,1
w6_persistent_bearing,random,7,16,dir,95.0,5807.421019,5712.421019,17,15,3,12,1227.7240668236268,14,334.54481336472537,258.604102600236,445.98755561424616,3,0,0,1
w6_persistent_bearing,random,7,18,dir,2434.557877,2976.535287,541.97741,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,7,19,dir,6440.482727,6947.035558,506.55283099999997,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,2,omni,11.0,1888.298665,1877.298665,10,9,7,2,1024.7195384366228,6,255.94390768732455,204.94390768732455,500.0,5,0,0,1
w6_persistent_bearing,random,8,3,omni,17.0,585.155209,568.155209,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,4,omni,23.0,4610.737083,4587.737083,17,12,2,10,0.0,12,72.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,5,dir,467.76009,1004.231046,536.470956,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,7,omni,1207.210128,3876.971921,2669.7617929999997,11,9,3,6,1071.1700497574316,9,268.2340099514863,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,8,9,omni,53.0,2009.083287,1956.083287,9,8,5,3,454.5206638729872,5,135.90413277459743,155.9588248490328,342.10799576469947,4,0,0,1
w6_persistent_bearing,random,8,12,omni,71.0,347.355463,276.355463,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,13,omni,77.0,5974.40878,5897.40878,22,20,2,18,0.0,20,120.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,16,omni,407.76009,5908.832067,5501.0719770000005,22,21,4,17,500.00000000000006,21,226.0,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,8,17,omni,101.0,6152.873829,6051.873829,22,21,2,19,0.0,21,126.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,8,19,omni,113.0,1264.972222,1151.972222,6,5,5,0,655.2100428210995,4,160.04200856421988,322.49819688561297,500.0,3,0,0,1
w6_persistent_bearing,random,9,1,dir,2921.460544,3609.192059,687.731515,3,1,1,0,237.74258056735866,0,52.548516113471734,257.14080450162766,257.14080450162766,1,0,0,1
w6_persistent_bearing,random,9,2,omni,11.0,3194.771659,3183.771659,9,8,2,6,163.8507734456771,8,80.77015468913542,287.9312070819051,287.9312070819051,1,0,0,1
w6_persistent_bearing,random,9,5,dir,2382.64185,5066.171587,2683.529737,10,9,6,3,911.5904391007855,7,234.3180878201571,303.86347970026185,500.0,3,0,0,1
w6_persistent_bearing,random,9,6,dir,1973.069942,6076.220776,4103.150834,24,23,5,18,2664.9300270211143,11,658.9860054042229,245.53571428571428,500.0,14,0,0,1
w6_persistent_bearing,random,9,8,dir,2963.460544,5800.022232,2836.5616880000002,24,23,6,17,952.660872750584,7,312.5321745501168,81.69475308368828,500.0,17,0,0,1
w6_persistent_bearing,random,9,9,omni,53.0,2204.197615,2151.197615,8,7,4,3,888.9858313518978,6,218.79716627037956,444.49291567594895,500.0,2,0,0,1
w6_persistent_bearing,random,9,11,dir,1127.510887,8606.543078,7479.032191,21,19,6,13,715.0794764668527,15,253.01589529337053,143.01589529337056,370.5443224156895,5,0,0,1
w6_persistent_bearing,random,9,12,dir,705.826386,9539.857544,8834.031158,29,28,3,25,2993.300446372918,18,756.6600892745836,306.8181818181818,500.0,11,0,0,1
w6_persistent_bearing,random,9,14,dir,397.0,975.549869,578.549869,5,4,3,1,1003.6174183575583,2,222.72348367151167,270.55671159618333,465.5849936793161,3,0,0,1
w6_persistent_bearing,random,9,16,dir,6415.79823,7684.193752,1268.3955219999998,26,25,5,20,2732.010033379105,3,674.402006675821,149.11684782608697,500.0,23,0,0,1
w6_persistent_bearing,random,9,18,dir,1544.112358,8683.593583,7139.4812249999995,37,36,5,31,6638.732744075687,13,1520.7465488151374,127.6786566524991,434.04845864313785,23,0,0,1
w6_persistent_bearing,random,9,19,omni,427.0,1426.308562,999.3085619999999,4,3,3,0,254.40736793254933,3,68.88147358650987,254.40736793254936,254.40736793254936,1,0,0,1
w6_persistent_bearing,random,9,20,omni,119.0,3096.808824,2977.808824,10,8,5,3,1874.3547345739328,7,421.87094691478654,472.171791696442,500.0,2,0,0,1
w6_persistent_bearing,random,10,1,omni,432.0,3150.309843,2718.309843,8,7,1,6,1280.191217057274,6,297.0382434114548,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,10,2,omni,1885.456077,5825.741694,3940.2856170000005,16,15,3,12,3037.1982048221507,14,696.4396409644302,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,10,3,dir,1879.456077,5976.3764,4096.920323,18,17,2,15,169.0145665793518,17,135.80291331587034,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,10,5,omni,1867.456077,5791.782157,3924.32608,17,16,4,12,481.4166993251719,16,192.28333986503438,481.416699325172,481.416699325172,1,0,0,1
w6_persistent_bearing,random,10,7,omni,396.0,3119.613169,2723.613169,10,9,5,4,815.5266033684162,8,216.10532067368325,407.7633016842081,500.0,2,0,0,1
w6_persistent_bearing,random,10,8,omni,47.0,1062.543957,1015.5439570000001,7,6,6,0,848.9551783201424,3,202.79103566402847,144.23151466821852,376.66076839932833,5,0,0,1
w6_persistent_bearing,random,10,10,omni,59.0,507.862802,448.862802,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,10,11,omni,690.840597,3830.364594,3139.5239970000002,11,10,4,6,499.99999999999994,10,160.0,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,10,13,omni,360.0,2597.422824,2237.422824,11,10,7,3,940.3338375586056,6,244.06676751172114,188.06676751172108,491.5941432796789,5,0,0,1
w6_persistent_bearing,random,10,14,omni,708.840597,4605.648853,3896.808256,14,11,4,7,500.00000000000006,11,166.0,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,10,15,omni,89.0,1155.608533,1066.608533,7,6,6,0,431.33929316191285,3,119.26785863238257,173.38869530756656,452.78239906812166,5,0,0,1
w6_persistent_bearing,random,10,16,dir,3986.007308,4317.797209,331.7899010000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,10,17,omni,101.0,830.964069,729.964069,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,10,19,omni,738.840597,3811.462681,3072.622084,11,10,4,6,0.17453292431296383,10,60.03490658486259,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,11,2,dir,6596.54208,7690.195934,1093.6538540000001,25,24,5,19,2441.052185558001,2,610.2104371116002,144.36141304347825,500.0,23,0,0,1
w6_persistent_bearing,random,11,3,dir,3224.614339,3585.290424,360.6760849999996,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,11,7,omni,396.0,8690.010106,8294.010106,23,20,3,17,0.0,20,120.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,11,8,dir,1889.006395,3996.033912,2107.0275169999995,18,17,9,8,2210.375343285431,6,533.0750686570861,269.2307692307692,500.0,13,0,0,1
w6_persistent_bearing,random,11,9,dir,53.0,2831.214173,2778.214173,13,12,2,10,1761.526619999175,6,418.30532399983497,392.85714285714283,500.0,7,0,0,1
w6_persistent_bearing,random,11,10,dir,378.0,2104.739623,1726.739623,5,4,4,0,0.610865200206727,4,24.122173040041346,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,11,11,omni,65.0,6488.141973,6423.141973,17,16,4,12,361.5457520733153,16,168.30915041466307,361.54575207331544,361.54575207331544,1,0,0,1
w6_persistent_bearing,random,11,13,dir,3501.705543,4598.739095,1097.0335519999999,8,6,3,3,541.6180824269157,2,140.32361648538316,158.03520188424974,468.18128704470297,6,0,0,1
w6_persistent_bearing,random,11,15,omni,5622.610739,6145.686929,523.0761900000007,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,11,17,omni,101.0,3247.421027,3146.421027,12,11,7,4,1351.6118673007595,7,332.3223734601519,188.09823894488187,487.4878718301633,5,0,0,1
w6_persistent_bearing,random,11,18,dir,3146.614339,4794.720112,1648.1057729999998,13,12,4,8,818.3085360598232,3,226.66170721196463,133.04465722818136,500.0,11,0,0,1
w6_persistent_bearing,random,11,19,omni,324.0,2091.818103,1767.818103,5,4,4,0,369.98034455778946,4,97.9960689115579,500.0,500.0,1,0,0,1
w6_persistent_bearing,random,11,20,dir,3140.614339,4478.248499,1337.63416,5,2,2,0,649.093868838995,2,141.818773767799,384.61992843391647,500.0,2,0,0,1
w6_persistent_bearing,random,12,1,dir,1956.829545,2608.720923,651.8913779999998,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,12,4,dir,4912.740851,6308.402433,1395.6615820000006,4,3,1,2,0.0,3,18.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,12,5,dir,6772.723995,7152.479702,379.75570699999935,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,12,6,dir,2772.914601,3409.784367,636.8697660000003,13,12,3,9,1284.6111269024586,1,317.92222538049174,232.43257180268927,455.37809985833,12,0,0,1
w6_persistent_bearing,random,12,8,omni,390.0,4196.49304,3806.4930400000003,10,8,1,7,855.3536615263165,8,219.0707323052633,439.796787165382,439.796787165382,1,0,0,1
w6_persistent_bearing,random,12,9,dir,7333.884967,8184.609783,850.7248159999999,24,23,4,19,1688.5730618009309,2,454.71461236018615,160.86647727272728,500.0,22,0,0,1
w6_persistent_bearing,random,12,11,dir,695.393626,3930.078814,3234.685188,9,6,2,4,472.2360531690072,6,130.44721063380143,472.23605316900716,472.23605316900716,1,0,0,1
w6_persistent_bearing,random,12,12,dir,71.0,1459.209634,1388.209634,9,7,5,2,1045.5303903175272,3,247.10607806350544,149.54506757781078,390.59216868021963,5,0,0,1
w6_persistent_bearing,random,12,13,dir,2736.914601,8888.618359,6151.703758,21,18,5,13,1090.521358308366,14,322.1042716616732,168.43577321709273,436.9668088531218,5,0,0,1
w6_persistent_bearing,random,12,15,dir,89.0,8636.939622,8547.939622,24,22,1,21,0.0,22,132.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,12,16,dir,4960.740851,5248.347915,287.6070640000007,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,12,17,dir,2712.914601,8449.861216,5736.946614999999,24,23,4,19,628.8695733596234,15,255.77391467192467,136.31214600649164,415.89988855637546,8,0,0,1
w6_persistent_bearing,random,12,19,omni,324.0,889.445527,565.445527,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,random,13,2,dir,491.508315,7372.912274,6881.403959,32,31,2,29,2348.1403574589,23,647.62807149178,289.77272727272725,500.0,11,0,0,1
