version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,guaranteed_clear_attempts,guaranteed_clear_successes,guaranteed_clear_failures,certificate_ready_channels_at_exit
w6_persistent_bearing,27,4,random,13,1,12,12,12,7,5,8323.183872,693.598656,28100.919362423556,5620.183872484711,445,2225.0,418,418.0,12,0,60.0,3,-4.84711563331075e-07,2.613606500000003,,12,12,0,0,173,41,143,7,0,25,0,all_resolved,6744.6325356038815,173,150,2363.9265071207765,5959.257364879223,13,18,0,0,13,9,9,0,[]
w6_persistent_bearing,27,4,random,14,1,10,10,10,5,5,7055.919234,705.5919234,22884.596150870617,4576.919230174123,409,2045.0,384,384.0,10,0,50.0,1,3.825876774499193e-06,1.4040105409999981,,10,10,0,0,81,22,67,6,0,25,0,all_resolved,5380.140350768949,81,62,1543.02807015379,5512.8911638462105,12,9,0,0,12,9,9,0,[]
w6_persistent_bearing,27,4,random,15,1,11,11,11,7,4,7463.394625,678.4904204545454,24861.973121296556,4972.394624259311,410,2050.0,386,386.0,11,0,55.0,0,7.406888471450657e-07,1.7793719169999989,,11,11,0,0,73,33,48,3,0,25,0,all_resolved,9385.869066034422,73,56,2298.1738132068845,5165.220811793115,20,0,0,0,20,11,11,0,[]
w6_persistent_bearing,27,4,random,16,1,12,12,12,11,1,6975.114394,581.2595328333333,23420.571958893743,4684.1143917787485,374,1870.0,361,361.0,12,0,60.0,0,2.2212516341824085e-06,1.836521083000001,,12,12,0,0,100,25,85,6,0,25,0,all_resolved,9410.926915604723,100,91,2473.1853831209446,4501.929010879056,8,0,0,0,8,12,12,0,[]
w6_persistent_bearing,27,4,random,17,1,14,14,14,7,7,8267.253038,590.5180741428572,28161.26516666683,5632.253033333366,435,2175.0,390,390.0,14,0,70.0,2,4.666633685701527e-06,2.1592888340000016,,14,14,0,0,176,46,143,7,0,25,0,all_resolved,16534.79139157666,176,133,4319.958278315332,3947.294759684669,27,21,0,0,27,12,12,0,[]
w6_persistent_bearing,27,4,random,18,1,11,11,11,3,8,7024.652824,638.6048021818182,24123.264121353615,4824.652824270723,361,1805.0,340,340.0,11,0,55.0,2,-2.7072292141383514e-07,1.705222667000001,,11,11,0,0,43,18,32,1,0,25,0,all_resolved,3925.086046839752,43,30,1030.0172093679503,5994.6356146320495,9,6,0,0,9,9,9,0,[]
w6_persistent_bearing,27,4,random,19,1,15,15,15,9,6,7029.87431,468.65828733333336,25739.371551221957,5147.874310244391,309,1545.0,262,262.0,15,0,75.0,1,-2.443912308081053e-07,7.294475667,,15,15,0,0,119,46,86,5,0,25,0,all_resolved,10390.222356001615,119,78,2751.044471200323,4278.8298387996765,29,21,0,0,29,14,14,0,[]
w6_persistent_bearing,27,4,random,20,1,15,15,15,8,7,7713.734423,514.2489615333333,27733.672100815427,5546.734420163086,352,1760.0,332,332.0,15,0,75.0,0,2.8369140636641532e-06,2.674474334000003,,15,15,0,0,155,51,118,7,0,25,0,all_resolved,14134.017639985545,155,139,3740.803527997109,3972.930895002891,23,6,0,0,23,15,15,0,[]
w6_persistent_bearing,27,4,random,21,1,11,11,11,2,9,6837.716792,621.6106174545455,23378.58394936802,4675.716789873604,354,1770.0,337,337.0,11,0,55.0,0,2.126395884261001e-06,1.9787860839999993,,11,11,0,0,60,37,32,1,0,25,0,all_resolved,6899.589512625633,60,49,1728.9179025251265,5108.798889474874,19,0,0,0,19,11,11,0,[]
w6_persistent_bearing,27,4,random,22,1,11,11,11,10,1,6813.072106,619.3701914545454,22880.360528641726,4576.072105728345,366,1830.0,352,352.0,11,0,55.0,0,2.716542439884506e-07,3.2894340419999963,,11,11,0,0,88,34,63,5,0,25,0,all_resolved,7646.18839792055,88,78,2047.23767958411,4765.8344264158895,16,0,0,0,16,11,11,0,[]
w6_persistent_bearing,27,4,random,23,1,16,16,16,1,15,9623.144515,601.4465321875,35725.72257944921,7145.144515889842,418,2090.0,308,308.0,16,0,80.0,5,-8.898423402570188e-07,7.7191584579999954,,16,16,0,0,197,53,158,5,0,23,0,all_resolved,23316.08249615888,197,92,5740.216499231776,3882.928015768224,36,79,0,1,36,11,11,0,[]
