seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,no_signal,,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,no_signal,,,0.0,0.0
5,23.0,measure,0.0,0.0,4,no_signal,,,0.0,0.0
6,29.0,measure,0.0,0.0,5,direction,332.08,,0.0,0.0
7,35.0,measure,0.0,0.0,6,direction,131.38,,0.0,0.0
8,41.0,measure,0.0,0.0,7,direction,221.63,,0.0,0.0
9,47.0,measure,0.0,0.0,8,no_signal,,,0.0,0.0
10,53.0,measure,0.0,0.0,9,no_signal,,,0.0,0.0
11,59.0,measure,0.0,0.0,10,no_signal,,,0.0,0.0
12,65.0,measure,0.0,0.0,11,no_signal,,,0.0,0.0
13,71.0,measure,0.0,0.0,12,no_signal,,,0.0,0.0
14,77.0,measure,0.0,0.0,13,no_signal,,,0.0,0.0
15,83.0,measure,0.0,0.0,14,no_signal,,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,direction,278.0,,0.0,0.0
18,101.0,measure,0.0,0.0,17,direction,249.79,,0.0,0.0
19,107.0,measure,0.0,0.0,18,direction,177.06,,0.0,0.0
20,113.0,measure,0.0,0.0,19,direction,115.34,,0.0,0.0
21,119.0,measure,0.0,0.0,20,no_signal,,,0.0,0.0
22,319.0,measure,485.0000000000001,-840.0446416709054,1,no_signal,,,970.0,970.0
23,325.0,measure,485.0000000000001,-840.0446416709054,2,no_signal,,,0.0,970.0
24,331.0,measure,485.0000000000001,-840.0446416709054,3,no_signal,,,0.0,970.0
25,337.0,measure,485.0000000000001,-840.0446416709054,4,no_signal,,,0.0,970.0
26,343.0,measure,485.0000000000001,-840.0446416709054,5,direction,30.28,,0.0,970.0
27,349.0,measure,485.0000000000001,-840.0446416709054,6,no_signal,,,0.0,970.0
28,355.0,measure,485.0000000000001,-840.0446416709054,7,no_signal,,,0.0,970.0
29,361.0,measure,485.0000000000001,-840.0446416709054,8,no_signal,,,0.0,970.0
30,367.0,measure,485.0000000000001,-840.0446416709054,9,no_signal,,,0.0,970.0
31,373.0,measure,485.0000000000001,-840.0446416709054,10,direction,241.81,,0.0,970.0
32,379.0,measure,485.0000000000001,-840.0446416709054,11,no_signal,,,0.0,970.0
33,385.0,measure,485.0000000000001,-840.0446416709054,12,no_signal,,,0.0,970.0
34,391.0,measure,485.0000000000001,-840.0446416709054,13,direction,310.6,,0.0,970.0
35,397.0,measure,485.0000000000001,-840.0446416709054,14,no_signal,,,0.0,970.0
36,403.0,measure,485.0000000000001,-840.0446416709054,15,no_signal,,,0.0,970.0
37,409.0,measure,485.0000000000001,-840.0446416709054,16,no_signal,,,0.0,970.0
38,415.0,measure,485.0000000000001,-840.0446416709054,17,direction,137.08,,0.0,970.0
39,421.0,measure,485.0000000000001,-840.0446416709054,18,no_signal,,,0.0,970.0
40,427.0,measure,485.0000000000001,-840.0446416709054,19,no_signal,,,0.0,970.0
41,433.0,measure,485.0000000000001,-840.0446416709054,20,direction,19.58,,0.0,970.0
42,546.987344,measure,69.58655048003273,-495.1340343707852,16,direction,276.97,,539.936719505366,1509.936719505366
43,606.063197,clear,-106.36932931842031,-289.8428392857588,17,success,,1,270.3792640257126,1780.3159835310785
44,666.199984,measure,-373.72517852792,-332.1588338946811,7,no_signal,,,270.68393655013045,2050.999920081209
45,672.954017,measure,-379.49364062358103,-325.55272495597444,7,direction,227.0,,8.77016705993325,2059.770087141142
46,753.170863,measure,-499.3418966349551,25.645082667167124,18,direction,178.37,,371.08422837446085,2430.854315515603
47,851.359427,measure,-481.51078772810166,-434.9527213968475,7,no_signal,,,460.94282243401994,2891.797137949623
48,856.884183,measure,-483.4139329524535,-433.1465461860531,7,no_signal,,,2.623781743411835,2894.4209196930346
49,862.933655,measure,-479.5762555694689,-436.72523824141547,7,no_signal,,,5.24736167259175,2899.668281365626
50,882.896818,measure,-430.50221417584135,-380.252723176411,7,no_signal,,,74.81581715433327,2974.4840985199594
51,888.159196,measure,-431.4537867880173,-379.3496355710138,7,no_signal,,,1.3118908717059576,2975.7959893916654
52,893.683932,measure,-429.534948096525,-381.13898159869495,7,no_signal,,,2.623680836295875,2978.4196702279614
53,992.133005,measure,-485.00000000000045,-840.0446416709053,20,no_signal,,,462.2453643131171,3440.6650345410785
54,998.133005,measure,-485.00000000000045,-840.0446416709053,19,no_signal,,,0.0,3440.6650345410785
55,1004.133005,measure,-485.00000000000045,-840.0446416709053,18,direction,134.3,,0.0,3440.6650345410785
56,1010.133005,measure,-485.00000000000045,-840.0446416709053,16,direction,335.72,,0.0,3440.6650345410785
57,1016.133005,measure,-485.00000000000045,-840.0446416709053,15,no_signal,,,0.0,3440.6650345410785
58,1022.133005,measure,-485.00000000000045,-840.0446416709053,14,no_signal,,,0.0,3440.6650345410785
59,1028.133005,measure,-485.00000000000045,-840.0446416709053,13,no_signal,,,0.0,3440.6650345410785
60,1034.133005,measure,-485.00000000000045,-840.0446416709053,12,no_signal,,,0.0,3440.6650345410785
61,1040.133005,measure,-485.00000000000045,-840.0446416709053,11,no_signal,,,0.0,3440.6650345410785
62,1046.133005,measure,-485.00000000000045,-840.0446416709053,10,direction,328.01,,0.0,3440.6650345410785
63,1052.133005,measure,-485.00000000000045,-840.0446416709053,9,no_signal,,,0.0,3440.6650345410785
64,1058.133005,measure,-485.00000000000045,-840.0446416709053,8,no_signal,,,0.0,3440.6650345410785
65,1064.133005,measure,-485.00000000000045,-840.0446416709053,7,no_signal,,,0.0,3440.6650345410785
66,1070.133005,measure,-485.00000000000045,-840.0446416709053,6,no_signal,,,0.0,3440.6650345410785
67,1076.133005,measure,-485.00000000000045,-840.0446416709053,5,no_signal,,,0.0,3440.6650345410785
68,1082.133005,measure,-485.00000000000045,-840.0446416709053,4,no_signal,,,0.0,3440.6650345410785
69,1088.133005,measure,-485.00000000000045,-840.0446416709053,3,no_signal,,,0.0,3440.6650345410785
70,1094.133005,measure,-485.00000000000045,-840.0446416709053,2,no_signal,,,0.0,3440.6650345410785
71,1100.133005,measure,-485.00000000000045,-840.0446416709053,1,no_signal,,,0.0,3440.6650345410785
72,1177.526355,measure,-159.60807833075438,-986.8280102095327,16,direction,334.95,,356.9667491057834,3797.631783646862
73,1250.651469,clear,148.8624358188752,-1131.298488633653,16,success,,1,340.6255675016646,4138.257351148526
74,1293.179156,clear,241.8608003787296,-1294.2693045737064,10,success,,1,187.63843598520626,4325.8957871337325
75,1390.25137,measure,-3.0862739446894787e-13,-1680.0892833418109,20,no_signal,,,455.3610685779587,4781.256855711691
76,1396.25137,measure,-3.0862739446894787e-13,-1680.0892833418109,19,no_signal,,,0.0,4781.256855711691
77,1402.25137,measure,-3.0862739446894787e-13,-1680.0892833418109,18,no_signal,,,0.0,4781.256855711691
78,1408.25137,measure,-3.0862739446894787e-13,-1680.0892833418109,15,no_signal,,,0.0,4781.256855711691
79,1414.25137,measure,-3.0862739446894787e-13,-1680.0892833418109,14,no_signal,,,0.0,4781.256855711691
80,1420.25137,measure,-3.0862739446894787e-13,-1680.0892833418109,13,direction,29.88,,0.0,4781.256855711691
