avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
611.9944766875,1,322,322.0,0,16,80.0,16,15,31,24,103,7,10,0,,smooth,103,639,94,58,27,58,0,58,94,94,451,366,90,6,291,1,0.0,1,94,0,27,0,136,12066.973511836068,96,3189.3947023672135,366,1830.0,31,37799.558122400085,7559.911624480015,27,0,58,4,0,0,100,6602.516924632786,16,16,6,58,16.971561600003042,4,136,46,0,94,0,16,0,1,random,322,322.0,291,0,0,hard_complete,2.519982444937341e-06,16,9791.911627,w5pro,0,0,0
627.99856425,1,288,288.0,0,16,80.0,16,37,34,23,97,4,10,0,,iid,97,842,120,85,40,85,0,85,120,120,425,358,250,9,283,1,0.0,1,120,0,40,0,129,12725.7113275963,64,3254.14226551926,358,1790.0,34,39449.88511907005,7889.977023814012,27,0,85,4,0,0,95,6793.834762480739,16,16,6,85,20.428414300011354,4,129,45,0,120,0,16,0,1,random,288,288.0,283,0,0,hard_complete,4.18598938267678e-06,16,10047.977028,w5pro,0,0,0
632.411441375,1,309,309.0,0,16,80.0,16,15,31,17,107,7,10,0,,biased,107,735,100,70,39,70,0,70,100,100,394,357,454,27,283,1,0.0,0,100,0,39,0,128,12176.702870643157,90,3165.3405741286315,357,1785.0,31,39722.915295905026,7944.583059181007,27,0,70,3,0,0,93,6953.242487871368,16,16,6,70,23.336411700001918,4,128,45,0,100,0,16,0,1,random,309,309.0,283,0,0,hard_complete,2.818995199049823e-06,16,10118.583062,w5pro,0,0,0
643.1331446875,1,287,287.0,0,16,80.0,16,16,24,18,108,4,10,0,,adversarial,108,635,92,59,32,59,0,59,92,92,417,328,327,25,265,1,0.0,0,92,0,32,0,105,12592.189384059911,72,3115.4378768119823,328,1640.0,24,41415.65157832715,8283.13031566543,27,0,59,1,0,0,79,7174.692438188018,16,16,6,59,18.711874000000535,4,105,36,0,92,0,16,0,1,random,287,287.0,265,0,0,hard_complete,-6.654299795627594e-07,16,10290.130315,w5pro,0,0,0
620.371198875,1,322,322.0,0,16,80.0,16,14,30,24,110,7,10,0,,piecewise,110,606,93,56,27,56,0,56,93,93,446,364,76,6,290,1,0.0,0,93,0,27,0,133,13342.423452325576,96,3429.4846904651154,364,1820.0,30,38519.69591680725,7703.939183361454,27,0,56,3,0,0,99,6496.454491534885,16,16,6,56,16.63322839999455,4,133,45,0,93,0,16,0,1,random,322,322.0,290,0,0,hard_complete,-1.3614499039249495e-06,16,9925.939182,w5pro,0,0,0
