avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_marginal_candidates,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
390.9826908125,1,80,80.0,0,16,80.0,16,53,25,5,93,4,7,0,,smooth,93,249,75,15,5,0,0,75,75,75,36,120,168,5,6,59,1,0.0,2,75,0,5,0,84,8689.421855880692,3,2160.8843711761383,168,840.0,25,26278.615276458095,5255.723055291619,27,0,0,6,0,0,60,4094.8386818238614,16,16,9,75,16.77485020000313,4,84,30,0,36,2,16,0,1,random,80,80.0,59,0,0,hard_complete,-2.29161923925858e-06,16,6255.723053,w5pro,0,0,0
739.6837505714285,1,269,269.0,0,14,70.0,14,72,13,25,62,4,9,0,,smooth,62,321,96,0,0,0,0,95,96,96,29,350,360,1,2,79,1,0.0,1,96,0,0,0,91,8851.760294026575,2,2227.352058805315,360,1800.0,13,41082.862537951725,8216.572507590343,27,0,0,5,0,0,80,8128.220449194684,14,14,5,95,18.04220080000232,4,91,18,0,29,10000,14,0,1,min_reff,269,269.0,79,0,0,hard_complete,4.0965460357256234e-07,14,10355.572508,w5pro,0,0,0
779.6176690833332,1,270,270.0,0,12,60.0,12,58,12,25,58,4,8,0,,smooth,58,303,90,0,0,0,0,89,90,90,38,350,351,0,0,75,1,0.0,0,90,0,0,0,74,7043.929392454252,1,1779.7858784908503,351,1755.0,12,36352.06015750181,7270.412031500359,27,0,0,8,0,0,63,7575.626150509149,12,12,4,89,18.37063350000244,4,74,16,0,38,10001,12,0,1,min_reff,270,270.0,75,0,0,hard_complete,-2.5003628252306953e-06,12,9355.412029,w5pro,0,0,0
