seq,virtual_time_s,action,x,y,channel,result_type,direction_deg,clear_success,moved_distance_m,cumulative_distance_m
2,5.0,measure,0.0,0.0,1,direction,209.35,,0.0,0.0
3,11.0,measure,0.0,0.0,2,no_signal,,,0.0,0.0
4,17.0,measure,0.0,0.0,3,direction,322.3,,0.0,0.0
5,23.0,measure,0.0,0.0,4,no_signal,,,0.0,0.0
6,29.0,measure,0.0,0.0,5,direction,195.05,,0.0,0.0
7,35.0,measure,0.0,0.0,6,no_signal,,,0.0,0.0
8,41.0,measure,0.0,0.0,7,direction,5.22,,0.0,0.0
9,47.0,measure,0.0,0.0,8,direction,45.1,,0.0,0.0
10,53.0,measure,0.0,0.0,9,direction,107.79,,0.0,0.0
11,59.0,measure,0.0,0.0,10,direction,351.85,,0.0,0.0
12,65.0,measure,0.0,0.0,11,direction,280.24,,0.0,0.0
13,71.0,measure,0.0,0.0,12,no_signal,,,0.0,0.0
14,77.0,measure,0.0,0.0,13,no_signal,,,0.0,0.0
15,83.0,measure,0.0,0.0,14,no_signal,,,0.0,0.0
16,89.0,measure,0.0,0.0,15,no_signal,,,0.0,0.0
17,95.0,measure,0.0,0.0,16,no_signal,,,0.0,0.0
18,101.0,measure,0.0,0.0,17,direction,269.21,,0.0,0.0
19,107.0,measure,0.0,0.0,18,no_signal,,,0.0,0.0
20,113.0,measure,0.0,0.0,19,no_signal,,,0.0,0.0
21,119.0,measure,0.0,0.0,20,no_signal,,,0.0,0.0
22,282.096115,measure,-533.1467952581428,-576.8311963683143,1,direction,87.71,,785.4805754426578,785.4805754426578
23,319.350272,measure,-663.3088799023825,-663.3088799023824,2,no_signal,,,156.27078430836858,941.7513597510264
24,325.350272,measure,-663.3088799023825,-663.3088799023824,4,no_signal,,,0.0,941.7513597510264
25,331.350272,measure,-663.3088799023825,-663.3088799023824,5,direction,136.08,,0.0,941.7513597510264
26,337.350272,measure,-663.3088799023825,-663.3088799023824,6,no_signal,,,0.0,941.7513597510264
27,343.350272,measure,-663.3088799023825,-663.3088799023824,12,no_signal,,,0.0,941.7513597510264
28,349.350272,measure,-663.3088799023825,-663.3088799023824,13,no_signal,,,0.0,941.7513597510264
29,355.350272,measure,-663.3088799023825,-663.3088799023824,14,no_signal,,,0.0,941.7513597510264
30,361.350272,measure,-663.3088799023825,-663.3088799023824,15,direction,329.09,,0.0,941.7513597510264
31,367.350272,measure,-663.3088799023825,-663.3088799023824,16,no_signal,,,0.0,941.7513597510264
32,373.350272,measure,-663.3088799023825,-663.3088799023824,18,no_signal,,,0.0,941.7513597510264
33,379.350272,measure,-663.3088799023825,-663.3088799023824,19,no_signal,,,0.0,941.7513597510264
34,385.350272,measure,-663.3088799023825,-663.3088799023824,20,no_signal,,,0.0,941.7513597510264
35,469.555402,clear,-521.5472723723499,-293.5252114462496,1,success,,1,396.02564920264206,1337.7770089536684
36,576.465214,measure,-938.0604140004557,1.148792683412499e-13,20,no_signal,,,509.5490623124334,1847.3260712661017
37,582.465214,measure,-938.0604140004557,1.148792683412499e-13,19,no_signal,,,0.0,1847.3260712661017
38,588.465214,measure,-938.0604140004557,1.148792683412499e-13,18,no_signal,,,0.0,1847.3260712661017
39,594.465214,measure,-938.0604140004557,1.148792683412499e-13,16,no_signal,,,0.0,1847.3260712661017
40,600.465214,measure,-938.0604140004557,1.148792683412499e-13,14,no_signal,,,0.0,1847.3260712661017
41,606.465214,measure,-938.0604140004557,1.148792683412499e-13,13,no_signal,,,0.0,1847.3260712661017
42,612.465214,measure,-938.0604140004557,1.148792683412499e-13,12,direction,173.78,,0.0,1847.3260712661017
43,618.465214,measure,-938.0604140004557,1.148792683412499e-13,6,no_signal,,,0.0,1847.3260712661017
44,624.465214,measure,-938.0604140004557,1.148792683412499e-13,5,direction,245.2,,0.0,1847.3260712661017
45,630.465214,measure,-938.0604140004557,1.148792683412499e-13,4,no_signal,,,0.0,1847.3260712661017
46,636.465214,measure,-938.0604140004557,1.148792683412499e-13,2,no_signal,,,0.0,1847.3260712661017
47,681.586865,measure,-934.3714674461714,-195.5734689198137,12,direction,158.11,,195.60825665602601,2042.9343279221277
48,717.219571,clear,-1063.8015291851545,-277.4692893465781,5,success,,1,153.1635279207482,2196.097855842876
49,890.27429,measure,-1362.1285014099844,508.06284525066883,12,direction,237.73,,840.2735964206787,3036.3714522635546
50,996.304188,clear,-1632.0065951296892,81.04783193756052,12,success,,1,505.149489819178,3541.5209420827327
51,1228.348714,measure,-663.3088799023824,663.3088799023825,2,no_signal,,,1130.222629159272,4671.743571242005
52,1234.348714,measure,-663.3088799023824,663.3088799023825,4,no_signal,,,0.0,4671.743571242005
53,1240.348714,measure,-663.3088799023824,663.3088799023825,6,no_signal,,,0.0,4671.743571242005
54,1246.348714,measure,-663.3088799023824,663.3088799023825,9,direction,71.8,,0.0,4671.743571242005
55,1252.348714,measure,-663.3088799023824,663.3088799023825,13,direction,53.63,,0.0,4671.743571242005
56,1258.348714,measure,-663.3088799023824,663.3088799023825,14,no_signal,,,0.0,4671.743571242005
57,1264.348714,measure,-663.3088799023824,663.3088799023825,16,no_signal,,,0.0,4671.743571242005
58,1270.348714,measure,-663.3088799023824,663.3088799023825,18,no_signal,,,0.0,4671.743571242005
59,1276.348714,measure,-663.3088799023824,663.3088799023825,19,no_signal,,,0.0,4671.743571242005
