avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_marginal_candidates,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
351.3399786875,1,112,112.0,0,16,80.0,16,15,13,8,93,1,7,0,,smooth,93,254,42,12,0,0,0,42,42,42,39,180,148,22,8,55,1,0.0,1,42,0,0,0,30,3592.6375754774235,2,870.5275150954847,148,740.0,13,23447.19828236287,4689.439656472578,27,0,0,3,0,0,19,4750.912143904515,16,16,9,42,11.072880699997768,4,30,15,0,39,2,16,0,1,random,112,112.0,55,0,0,hard_complete,2.5274257495766506e-06,16,5621.439659,w5pro,0,0,0
930.6620741428571,1,47,47.0,0,4,20.0,4,57,11,2,26,3,9,1,,smooth,26,5942,1993,0,0,0,19,1993,1993,1993,1960,51,2034,1,2,45,1,0.0,1,1993,0,0,0,1990,7217.474543078643,4,11397.494908615728,2034,10170.0,11,13961.3451951222,2792.2690390244397,27,0,0,1,9,19,1983,1631.7741293842719,4,5,5,1993,111.17760569999518,4,1990,12,23,1960,10000,14,0,0,min_reff,47,47.0,45,0,1,max_macro_steps,-1.0244384611723945e-06,14,13029.269038,w5pro,0,0,0
708.4553595000001,1,282,282.0,0,12,60.0,12,28,6,25,63,2,8,0,,smooth,63,256,54,0,0,0,0,53,54,54,32,350,325,0,0,75,1,0.0,0,54,0,0,0,36,2757.25144921941,0,731.450289843882,325,1625.0,6,32672.321586026188,6534.464317205236,27,0,0,6,0,0,31,7770.0140241561185,12,12,4,53,11.9976702999993,4,36,8,0,32,10001,12,0,1,min_reff,282,282.0,75,0,0,hard_complete,-3.2052375900093466e-06,12,8501.464314,w5pro,0,0,0
