run,channel,first_ready_time_s,first_ready_observations,actual_clear_time_s,potential_saved_time_upper_bound_s,measure_actions_after_ready_before_clear,movement_m_after_ready_before_clear
25,7,2283.691206,2,2340.596071,56.90486499999997,0,259.52432294218187
25,10,6695.925649,5,6887.151548,191.22589900000003,2,421.1294926876708
25,18,,,538.462131,,0,0.0
26,7,3885.121318,8,3892.287353,7.166035000000193,0,10.830177302457392
26,10,1992.736941,3,2236.991431,244.25449000000003,1,866.2724516883595
28,7,1843.69604,3,2061.881143,218.18510300000003,1,465.92551392347605
28,18,4268.581431,3,4634.780057,366.19862600000033,0,1440.9931302571963
