run,suite,seed,channel,time_s,observation_count,feasible_vertices,mec_radius_m,mec_center_x,mec_center_y,valid,clear_ready
25,random,25,5,29.0,1,4,750.1268544100561,363.06848157836106,656.4080860192889,1,0
25,random,25,15,89.0,1,4,750.1297551941274,-664.4428809409778,-348.15270729157464,1,0
25,random,25,16,95.0,1,5,750.1385057101288,-491.0933218409231,-567.0406749010747,1,0
25,random,25,18,107.0,1,5,750.1337894687814,73.48683016400402,746.5255440339871,1,0
25,random,25,19,113.0,1,4,750.1345092993516,493.5202468520731,564.924373689831,1,0
25,random,25,5,343.0,2,5,258.54181305659137,599.6001927177464,1087.664815013323,1,0
25,random,25,10,373.0,1,5,651.7947009516265,1110.6757650563572,657.3805532195635,1,0
25,random,25,17,415.0,1,4,471.91756653947635,405.28394054001336,1305.1806857190008,1,0
25,random,25,18,421.0,2,4,20.07197527885583,62.235403957707476,629.4562955929717,1,0
25,random,25,19,618.112869,2,4,500.11440066984954,658.4297845576148,752.793731985597,1,0
25,random,25,19,729.866902,3,5,250.11755688030843,827.4169259268436,937.0096265275696,1,0
25,random,25,5,788.641156,3,4,7.425494397781265,614.2060764618739,1107.0579448077845,1,1
25,random,25,19,800.652429,4,4,125.09504065209762,908.9049030556814,1031.8226787131728,1,0
25,random,25,19,830.663525,5,3,62.567428452796676,948.8264821638262,1079.9244729306092,1,0
25,random,25,10,1119.791677,2,4,34.226391831795645,1270.2407224979474,625.1033351919116,1,0
25,random,25,17,1161.791677,2,4,17.119889247955456,380.93828748886574,1519.912354249702,1,1
25,random,25,14,1816.540875,1,7,606.4485671994493,-1391.144162863481,891.580594421647,1,0
25,random,25,14,2106.540875,2,4,53.41614227601077,-1577.108438132708,544.8791022866988,1,0
25,random,25,7,2148.540875,1,4,440.7746972127806,-855.2293743664288,1079.2360797686351,1,0
25,random,25,7,2283.691206,2,4,9.826150375109966,-865.2596451004921,1095.3991089127312,1,1
25,random,25,14,2493.126159,3,4,30.360588415411897,-1582.1453698679384,544.0068901795446,1,0
25,random,25,14,2611.126159,4,5,22.754726691177158,-1577.1349834742089,546.0033459660631,1,0
25,random,25,15,3375.165777,2,4,500.1042122231761,-887.0652408379085,-461.86677670467043,1,0
25,random,25,15,3548.676155,3,4,24.670172313453882,-1043.5354271921428,-543.2538125383572,1,0
25,random,25,15,3686.12881,4,4,19.123619881817813,-1046.4567818607804,-544.904024185003,1,1
25,random,25,13,4250.348829,1,7,678.874236571677,-712.6137058495405,-900.0127680480496,1,0
25,random,25,13,4489.775071,2,4,16.123214766720558,-797.7977945057985,-1158.5938642458932,1,1
25,random,25,16,4799.915529,2,4,36.41908772495062,-306.4280630478214,-353.8274660033928,1,0
25,random,25,1,4859.915529,1,5,750.1393533351161,578.8412909384275,-1202.9605697573497,1,0
25,random,25,1,4959.915529,2,6,276.11171921166,881.3953622088828,-970.0036649013335,1,0
25,random,25,16,5043.452011,3,4,30.91449721611049,-302.79830357296055,-349.4963167341045,1,0
25,random,25,16,5098.452011,4,4,19.668038810731346,-310.83248876585174,-358.4270167135156,1,1
25,random,25,1,5467.04272,3,4,40.57561306669892,976.792015261277,-871.6676480553033,1,0
25,random,25,1,5727.04272,4,4,17.04657637285222,970.5388255985652,-872.2130467188099,1,1
25,random,25,20,6110.723602,1,4,750.1266126789337,1062.660536757088,-200.70147823561965,1,0
25,random,25,20,6198.723602,2,4,397.28356881001895,998.0342781267527,-109.4002081060987,1,0
25,random,25,20,6399.733806,3,5,23.73839892610415,1078.5043531438444,-227.7754110364853,1,0
25,random,25,10,6417.733806,3,6,34.226391831795645,1270.2407224979474,625.1033351919116,1,0
25,random,25,2,6453.733806,1,5,659.1900343213181,1286.677212079688,529.8091005959029,1,0
25,random,25,10,6554.766332,4,6,34.226391831795645,1270.2407224979474,625.1033351919116,1,0
25,random,25,10,6695.925649,5,4,10.979662420450317,1272.289696166629,626.3037733350907,1,1
25,random,25,10,6783.925649,6,4,9.372576905006898,1273.6302793104146,625.3579092081181,1,1
25,random,25,10,6854.827093,7,4,8.195842594294971,1274.1390898864884,624.8184585141887,1,1
25,random,25,2,6976.367341,2,4,500.13011556506876,1164.2048465389241,631.1847295110102,1,0
25,random,25,20,7069.116201,4,5,17.17668077366664,1079.6335061707464,-229.33174271062978,1,1
25,random,25,2,7260.139414,3,4,17.9181967582153,1171.654328404423,624.7445142518163,1,1
25,random,25,2,7332.160454,4,4,12.717976520303065,1172.070848975225,624.2608615096152,1,1
26,random,26,1,5.0,1,5,750.1390850755944,-624.5904653211381,415.44602247220695,1,0
26,random,26,2,11.0,1,5,750.1366196212535,302.93433349886783,-686.2475775435538,1,0
26,random,26,3,17.0,1,4,750.139010819554,501.0432656392574,558.2689150498109,1,0
26,random,26,6,35.0,1,5,750.1414166208282,624.766598853668,-415.1853102973724,1,0
26,random,26,8,47.0,1,4,750.1259014997626,-720.3103045930594,-209.3846536828555,1,0
26,random,26,14,83.0,1,5,750.1338532210015,749.2389470965496,36.630559671412705,1,0
26,random,26,15,89.0,1,4,750.1284445448944,-675.2050032608884,326.7887496331618,1,0
26,random,26,20,119.0,1,5,750.1402709247195,-722.5011404370165,-201.7486756591605,1,0
26,random,26,15,348.0,2,4,31.32731652762433,-1010.1475987209719,489.37282708350915,1,0
26,random,26,14,354.0,2,4,35.031081525242925,365.12919938607735,17.18905627152158,1,0
26,random,26,13,360.0,1,4,558.000988154922,-198.73601026702136,1319.020665041634,1,0
26,random,26,8,390.0,2,4,22.196798987335924,-480.6278696304448,-140.0077046823063,1,0
26,random,26,3,420.0,2,4,20.93237459112453,338.6281544779939,378.10348200698945,1,0
26,random,26,1,620.844295,2,6,625.145036992147,-727.6210548712718,486.2535913578338,1,0
26,random,26,1,718.482968,3,3,20.20583026199393,-329.70860105903074,217.8155646619752,1,0
26,random,26,20,837.43656,2,4,500.15368991798107,-963.6216352834275,-267.8305853145137,1,0
26,random,26,8,844.406269,3,3,9.257202150643137,-471.98119172680117,-136.70153576821502,1,1
26,random,26,1,960.545664,4,3,12.113605233302366,-322.8861497464948,213.429283521791,1,1
26,random,26,3,972.545664,3,4,20.93237459112453,338.6281544779939,378.10348200698945,1,0
26,random,26,20,1068.545664,3,4,10.217997340015275,-938.6952220926722,-261.5502354483476,1,1
26,random,26,1,1075.5558,5,3,11.812399859690634,-322.6195255462028,213.28915424964845,1,1
26,random,26,20,1109.021717,4,4,9.020293389526126,-938.4345781742935,-261.43392486424455,1,1
26,random,26,14,1322.458105,3,5,29.70847809040519,370.1326593039696,12.168976680521492,1,0
26,random,26,10,1346.458105,1,5,750.141024372219,200.03910805904167,-534.3765588165259,1,0
26,random,26,3,1382.458105,4,4,20.93237459112453,338.6281544779939,378.10348200698945,1,0
26,random,26,2,1388.458105,2,4,55.9780550831658,544.9896020214208,-1235.7887310462106,1,0
26,random,26,1,1394.458105,6,3,11.812399859690634,-322.6195255462028,213.28915424964845,1,1
26,random,26,1,1400.468241,7,3,11.812399859690634,-322.6195255462028,213.28915424964845,1,1
26,random,26,14,1505.653219,4,5,21.471330287586568,372.7585297535784,14.467184186757564,1,0
26,random,26,10,1637.750634,2,4,500.1324347927579,427.865293736949,-431.4597501924055,1,0
26,random,26,2,1720.464657,3,4,44.500415588420765,542.2860738017658,-1230.2125444345172,1,0
26,random,26,2,1789.67775,4,4,38.80161524360022,544.1800441003377,-1234.8193302316397,1,0
