avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_marginal_candidates,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
371.945865875,1,78,78.0,0,16,80.0,16,54,23,5,95,2,7,0,,smooth,95,248,99,27,4,0,0,99,99,99,40,120,168,2,4,59,1,0.0,1,99,0,4,0,82,6795.573075768174,1,1770.1146151536348,168,840.0,23,24765.669268841088,4953.133853768216,27,0,0,7,0,0,60,4181.019238846365,16,16,9,99,23.2124199999962,4,82,27,0,40,2,16,0,1,random,78,78.0,59,0,0,hard_complete,2.3178199626272544e-07,16,5951.133854,w5pro,0,0,0
746.4634715,1,268,268.0,0,14,70.0,14,72,13,25,65,4,9,0,,smooth,65,315,103,0,0,0,0,102,103,103,31,350,361,1,2,79,1,0.0,1,103,0,0,0,91,7924.263652905223,1,2040.8527305810446,361,1805.0,13,41537.44299617452,8307.488599234905,27,0,0,5,0,0,80,8409.635870418955,14,14,5,102,21.90847739999299,4,91,18,0,31,10000,14,0,1,min_reff,268,268.0,79,0,0,hard_complete,1.7650945665081963e-06,14,10450.488601,w5pro,0,0,0
767.3393179999999,1,327,327.0,0,12,60.0,12,42,9,25,47,3,8,0,,smooth,47,267,72,0,0,0,0,70,72,72,33,350,387,0,0,79,1,0.0,0,72,0,0,0,54,3289.065485078653,0,927.8130970157306,387,1935.0,9,34430.35908556177,6886.0718171123535,27,0,0,5,0,0,46,8280.258718984269,12,12,4,70,15.955098799997359,4,54,12,0,33,10001,12,0,1,min_reff,327,327.0,79,0,0,hard_complete,-1.1123556760139763e-06,12,9208.071816,w5pro,0,0,0
