avg_time_per_source_s,certificate_summary_count,channel_switch_count,channel_switch_time_s,clear_fail,clear_success,clear_time_s,cleared,coarse_failures,coarse_successes,completed_search_points,corridor_opportunity_count,deferred_targets,dir_count,discovered_but_not_cleared,error,error_field,event_corridor_opportunity,event_information_ridge,event_information_ridge_selected,event_intersection_attempt,event_intersection_selected,event_nbv_selected,event_no_progress_guard,event_outcome_probabilities,event_route_choice,event_route_marginal_candidates,event_route_repair,event_scan_continue,event_scan_observe,event_spatial_bundle,event_spatial_service,event_tail_fallback,exit_state_count,fallback_rate,fallback_targets,information_ridge_selected_count,intersection_attempts,intersection_selected_count,legacy_backbone_fallback_count,local_reacquisition_measure_count,local_reacquisition_move_m,local_reacquisition_switch_count,local_reacquisition_time_s,measure_count,measure_time_s,mec_checks,move_distance_m,move_time_s,n,nbv_effective_count,nbv_selected_count,near_count,never_discovered,no_progress_guard_count,no_signal_after_found,non_reacquisition_time_s,number_cleared,number_discovered,omni_count,outcome_probability_count,policy_runtime_s,problem,reacquisition_attempts,reacquisition_successes,remaining_search_points,route_repair_count,seed,source_count,spatial_stop_selected_count,success,suite,switch_count,switch_time_s,tail_fallback_event_count,tail_rescue_count,targets_remaining_at_exit,termination_reason,time_component_delta_s,total,total_time_s,version,w2_fallback_count,w3_coarse_fallback_count,wait_for_route_success_count
954.401721125,1,111,111.0,0,15,75.0,15,21,6,8,99,0,7,1,,smooth,99,8075,1969,1951,1,0,19,1969,1969,1969,1991,180,2082,41,17,50,1,0.0,1,1969,0,1,0,1954,2114.117816138493,2,10194.8235632277,2082,10410.0,6,23372.137683697194,4674.42753673944,27,0,0,0,0,19,1950,5075.603974772301,15,16,9,1969,39.76294840000628,4,1954,6,0,1991,2,16,0,0,random,111,111.0,50,0,1,max_macro_steps,1.260561475646682e-06,16,15270.427538,w5pro,0,0,0
763.8636525000001,1,22,22.0,0,2,10.0,2,21,0,1,19,1,9,1,,smooth,19,8012,1995,0,0,0,19,1995,1995,1995,2000,26,2019,6,2,21,1,0.0,1,1995,0,0,0,1994,65.26309611002578,0,9983.052619222006,2019,10095.0,0,2835.4556810682648,567.091136213653,27,0,0,0,11,19,1995,711.0385157779947,2,3,5,1995,113.42081710000639,4,1994,0,24,2000,10000,14,0,0,min_reff,22,22.0,21,0,1,max_macro_steps,-1.213651557918638e-06,14,10694.091135,w5pro,0,0,0
1338.4632644166666,1,248,248.0,0,8,40.0,8,36,5,17,60,2,8,1,,smooth,60,4189,1974,0,0,0,19,1973,1974,1974,1994,306,2222,11,8,72,1,0.0,1,1974,0,0,0,1962,1417.2555109852483,1,10094.45110219705,2222,11110.0,5,23317.795883799972,4663.5591767599935,27,0,0,1,3,19,1961,5967.108070802949,8,9,4,1973,62.29025379999075,4,1962,6,8,1994,10001,12,0,0,min_reff,248,248.0,72,0,1,max_macro_steps,-3.7599947972921655e-06,12,16061.559173,w5pro,0,0,0
