side_lower_bound_m,side_upper_bound_m,apothem_m,cap_height_m,cap_half_width_m,supplement_radius_m,cap_side_support_distance_m,cap_side_support_margin_m,apex_to_adjacent_vertex_m,apex_distance_margin_m,cap_end_to_supplement_m,side_at_most_receive,side_in_cap_interval,positive_cap,supplement_beyond_arena,cap_inside_local_triangles,cap_apex_within_adjacent_vertex,cap_end_within_supplement,analytical_pass,side_m,cap_extension_m,point_count,probe_count,misses,angular_misses,sampled_direction_misses,miss_rate,worst_angular_gap_deg,angular_safety_margin_deg,minimum_nearby_detector_count,max_sampled_visible_distance_m,distance_safety_margin_m,open_route_proxy_m,open_route_method,numeric_pass
561.477916228961,997.3678105830284,1662.768775266122,137.23122473387798,689.3475175845638,1842.768775266122,1811.2061761600953,11.20617616009531,969.7589437803398,30.24105621966021,712.4605252222754,1,1,1,1,1,1,1,1,960.0,180.0,25,38312,0,0,0,0.0,177.21773401659306,2.782265983406944,3,964.8947802289289,35.10521977107112,18443.646178829913,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1680.0892833418109,119.91071665818913,645.9876159803688,1820.0892833418109,1801.4231611111766,1.4231611111765687,977.3835378035997,22.616462196400335,660.9841147864299,1,1,1,1,1,1,1,1,970.0,140.0,25,32564,0,0,0,0.0,179.6188512591132,0.3811487408868004,3,970.9582388642413,29.041761135758748,18350.255095400647,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1680.0892833418109,119.91071665818913,645.9876159803688,1860.0892833418109,1828.8671668421473,28.8671668421473,977.3835378035997,22.616462196400335,670.5967491719598,1,1,1,1,1,1,1,1,970.0,180.0,25,32564,0,0,0,0.0,172.88079325945284,7.119206740547156,3,971.58846819103,28.41153180897004,18622.798394420755,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1697.4097914174997,102.59020858250028,598.9991652748774,1817.4097914174997,1803.9362216427687,3.9362216427687144,985.3551394786556,14.644860521344413,610.9009739720506,1,1,1,1,1,1,1,1,980.0,120.0,25,27380,0,0,0,0.0,178.72668512533642,1.2733148746635834,3,978.9991652748771,21.0008347251229,18396.59801887899,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1697.4097914174997,102.59020858250028,598.9991652748774,1857.4097914174997,1833.1387962246317,33.13879622463173,985.3551394786556,14.644860521344413,620.0,1,1,1,1,1,1,1,1,980.0,160.0,25,27380,0,0,0,0.0,171.49649621852765,8.503503781472347,3,979.1051838433093,20.894816156690695,18664.876634922563,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1714.7302994931883,85.26970050681166,547.4486277268402,1814.7302994931883,1805.5426630117086,5.542663011708555,993.665397316683,6.33460268331703,556.5069631190614,1,1,1,1,1,1,1,1,990.0,100.0,25,22466,0,0,0,0.0,178.06098286060882,1.9390171393911828,3,990.8688928565238,9.131107143476243,18445.188438642297,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1714.7302994931883,85.26970050681166,547.4486277268402,1834.7302994931883,1821.398749227711,21.39874922771105,993.665397316683,6.33460268331703,560.4462507680826,1,1,1,1,1,1,1,1,990.0,120.0,25,22466,0,0,0,0.0,173.68761019880367,6.312389801196332,3,990.2452764014542,9.754723598545752,18576.231041578394,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1714.7302994931883,85.26970050681166,547.4486277268402,1874.7302994931883,1850.7159509130925,50.715950913092456,993.665397316683,6.33460268331703,570.3507692639683,1,1,1,1,1,1,1,1,990.0,160.0,25,22466,0,0,0,0.0,169.84887199717105,10.151128002828955,3,987.9006226197992,12.099377380200849,18844.229751417457,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1714.7302994931883,85.26970050681166,547.4486277268402,1914.7302994931883,1876.8148480180757,76.81484801807574,993.665397316683,6.33460268331703,582.8378848359125,1,1,1,1,1,1,1,1,990.0,200.0,25,22466,0,0,0,0.0,171.530096842114,8.469903157885994,3,988.4793006192544,11.520699380745555,19119.999999999996,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1723.3905535310328,76.60944646896723,519.5430684745977,1823.3905535310328,1814.2509227685796,14.250922768579585,997.944891909509,2.0551080904909895,529.079389127946,1,1,1,1,1,1,1,1,995.0,100.0,25,20228,0,0,0,0.0,175.34601657935843,4.653983420641566,3,994.8123896621622,5.187610337837782,18535.062499609376,cheapest-insertion+2opt,1
561.477916228961,997.3678105830284,1726.8546551461707,73.14534485382933,507.9104251735733,1806.8546551461707,1801.06581087522,1.065810875219995,999.6795693990077,0.3204306009922675,514.1721501598468,1,1,1,1,1,1,1,1,997.0,80.0,25,19340,0,0,0,0.0,179.52038816653052,0.4796118334694768,3,996.4216222561793,3.578377743820738,18445.226874564898,nearest+2opt,1
