Strategy,Paper name,Dataset,Cases,Full clear,Mean time s,Median time s,P95 s,P99 s,CVaR95 s,Max s,Pooled T/N s/source,Macro T/N s/source,Mean movement time s,Mean measures,Mean reacquisition,Source reacq >50,Source reacq >100,Source reacq >200,Role,Source
Geometric baseline,Q4 W0 direct-transfer baseline,formal mixed,200,8/200,5982.48,,7761.98,,9061.43,,479.62,,990.64,,,,,baseline,results/q4/w0_baseline/report.md
Persistent lifecycle,Persistent Target Lifecycle,formal mixed,200,200/200,17740.09,,22596.08,,26114.85,,1407.22,43668.00,1730.36,1452.96,,,,,mechanism diagnosis,results/q4/w2/report.md
Adaptive reacquisition,Adaptive Coarse-to-Fine Reacquisition,formal mixed,200,200/200,10732.16,,13867.98,,17590.49,,858.96,43096.55,353.48,77.52,,,,,mechanism diagnosis,results/q4/w3/report.md
Dynamic routing,Dynamic Unified Task Pool + Open-Route Replanning,random formal component,100,100/100,9394.43,,11387.81,,12156.06,, ,35075.56,393.92,109.61,,,,,method base; see suite tables,results/q4/w4a/summary.csv
25G-ASR,25-point Geometry-Guided Adaptive Search and Reacquisition,historical 200,200,200/200,7491.8110,7349.9851,9250.0868,11224.9893,10144.2778,11528.3530,588.0542,588.0542,5237.5710,370.44,99.745,5,4,3,final formal benchmark,results/q4/final_candidate_validation/historical_200/summary.csv
25G-ASR,25-point Geometry-Guided Adaptive Search and Reacquisition,held-out 600,600,600/600,7365.1119,7318.2787,8763.0741,9858.4343,9363.4451,10673.7945,571.1603,586.2917,5155.0286,362.525,95.125,9,8,4,final selection,results/q4/final_candidate_validation/heldout_600/summary.csv
W8 robustness candidate,Stale-State Tail Repair,held-out 600,600,600/600,7368.6095,7323.7167,8740.2868,9885.8559,9318.4444,10621.3001,571.4315,586.5293,5170.8245,360.143,92.763,5,2,0,robustness comparison only,results/q4/final_candidate_validation/heldout_600/summary.csv
