version,n,problem,suite,episodes,clear_rate,full_clear_cases,clear_fail_total,error_count,mean_total_time_s,median_total_time_s,p95_total_time_s,max_total_time_s,mean_avg_time_per_source_s,median_avg_time_per_source_s,p95_avg_time_per_source_s,mean_move_distance_m,mean_measure_count,mean_switch_count,mean_source_count,mean_omni_count,mean_dir_count,mean_policy_runtime_s,max_abs_time_component_delta_s,mean_reacquisition_attempts,mean_reacquisition_successes,mean_no_signal_after_found,mean_targets_remaining_at_exit,mean_local_reacquisition_move_m,mean_local_reacquisition_time_s,mean_non_reacquisition_time_s,mean_coarse_successes,mean_coarse_failures,mean_intersection_attempts,mean_fallback_targets,mean_guaranteed_clear_attempts,mean_guaranteed_clear_failures
w6_persistent_bearing,27,4,random,10,1.0,10,0,0,7500.149491599999,7210.239745000001,9694.11566815,10224.577519,587.9825867604167,599.8489468181817,762.6547324954545,26269.247459084512,371.3,324.3,13.1,7.3,5.8,3.4100804958000004,2.598193532321602e-06,119.1,34.7,93.7,0.0,9726.064440179698,2617.8128880359395,4882.33660356406,20.8,27.5,0.0,0.4,10.5,0.0
w6_persistent_bearing,27,4,min_reff,10,1.0,10,0,0,7089.768316,7056.5356965,8183.3917552,8400.405895,554.0888439739801,587.4392251634615,682.3744434863636,25106.341578924425,337.6,315.0,13.1,4.0,9.1,1.7362990625999992,2.8041977202519774e-06,66.0,19.9,55.5,0.0,8808.85313444011,2140.670626888022,4949.097689111977,13.9,8.1,0.0,0.0,12.7,0.0
w6_persistent_bearing,27,4,collinear,10,1.0,10,0,0,6725.7073915,6982.3066579999995,7521.67447015,7522.111867,528.0914945926698,546.5918460416667,676.7535800227272,23917.03695242711,316.7,293.3,13.1,4.0,9.1,3.0634892957999993,3.2243506211671047e-06,82.5,25.8,66.2,0.0,8721.458198530494,2221.291639706099,4504.415751793901,16.5,8.5,0.0,0.0,13.0,0.0
w6_persistent_bearing,27,4,overall,30,1.0,30,0,0,7105.2083997,7015.657532499999,8755.358026049998,10224.577519,556.7209751090223,580.478350923077,727.3511859681819,25097.541996812015,341.8666666666667,310.8666666666667,13.1,5.1,8.0,2.7366229514,3.2243506211671047e-06,89.2,26.8,71.8,0.0,9085.458591050101,2326.5917182100197,4778.61668148998,17.066666666666666,14.7,0.0,0.13333333333333333,12.066666666666666,0.0
