strategy,suite,seed,channel,kind,first_found_time_s,clear_time_s,found_to_clear_s,supplement_measure_count,reacquisition_attempts,reacquisition_successes,reacquisition_no_signal,reacquisition_move_m,reacquisition_switch_count,reacquisition_time_s,mean_planned_step_m,max_planned_step_m,coarse_probe_count,intersection_probe_count,fallback_probe_count,cleared
w6_persistent_bearing,min_reff,10004,12,dir,2017.806136,3200.35048,1182.5443440000001,6,5,3,2,1245.7162784611505,3,277.1432556922301,276.86582173386654,500.0,3,0,0,1
w6_persistent_bearing,min_reff,10004,13,dir,8002.994886,8400.405895,397.41100899999947,7,6,3,3,863.4561769497074,0,202.69123538994148,307.2941098968766,500.0,6,0,0,1
w6_persistent_bearing,min_reff,10004,14,dir,1357.912649,7201.845843,5843.933194,23,22,3,19,985.9418511556352,17,324.188370231127,334.87896509613665,500.0,6,0,0,1
w6_persistent_bearing,min_reff,10004,16,omni,95.0,1554.115545,1459.115545,3,2,1,1,0.0,2,12.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10004,17,dir,4648.634476,5904.633043,1255.9985669999996,9,8,1,7,2667.1973669004706,3,576.4394733800941,339.2857142857143,500.0,7,0,0,1
w6_persistent_bearing,min_reff,10004,19,dir,113.0,1805.521566,1692.521566,5,4,2,2,327.2699422736906,4,89.45398845473812,483.15821835912834,483.15821835912834,1,0,0,1
w6_persistent_bearing,min_reff,10005,1,dir,3181.177623,3580.369323,399.19169999999986,4,3,3,0,327.9026241059603,0,80.58052482119206,187.6763250657729,500.0,3,0,0,1
w6_persistent_bearing,min_reff,10005,2,omni,325.0,3761.361583,3436.361583,11,10,3,7,740.2907375508455,8,206.0581475101691,213.2910370772058,437.5311030576241,3,0,0,1
w6_persistent_bearing,min_reff,10005,3,omni,1420.325967,5038.143601,3617.817634,8,7,3,4,660.3098566760491,5,172.06197133520982,257.3231753687507,441.0079703519384,3,0,0,1
w6_persistent_bearing,min_reff,10005,4,dir,337.0,4018.767124,3681.767124,8,6,0,6,0.0,6,36.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10005,6,omni,35.0,857.753624,822.753624,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10005,7,dir,710.0,5687.772042,4977.772042,8,7,1,6,1200.2340217139322,7,282.04680434278646,500.0,500.0,1,0,0,1
w6_persistent_bearing,min_reff,10005,8,dir,1053.325967,5434.643885,4381.317918000001,10,9,4,5,1833.3945480728355,6,417.6789096145671,183.85111136703455,466.07686241683615,4,0,0,1
w6_persistent_bearing,min_reff,10005,9,dir,367.0,3930.968202,3563.968202,13,12,2,10,674.2154048324642,8,202.84308096649283,357.63940923066923,500.0,5,0,0,1
w6_persistent_bearing,min_reff,10005,10,omni,373.0,3421.491275,3048.491275,12,11,5,6,698.1206375930684,8,202.62412751861368,174.53015939826707,453.65767549761625,4,0,0,1
w6_persistent_bearing,min_reff,10005,12,dir,1372.325967,4867.212199,3494.886232,6,4,1,3,1199.3387342065182,4,263.86774684130364,441.7366023466134,441.7366023466134,1,0,0,1
w6_persistent_bearing,min_reff,10005,14,dir,1703.325967,2730.649144,1027.323177,5,3,3,0,151.47468625884397,2,47.29493725176879,180.0066724608241,180.0066724608241,1,0,0,1
w6_persistent_bearing,min_reff,10005,15,dir,2273.41403,4525.166167,2251.7521370000004,6,5,1,4,1693.406159961979,2,365.6812319923958,437.5,500.0,4,0,0,1
w6_persistent_bearing,min_reff,10005,16,omni,1348.325967,4885.08163,3536.755663,6,4,1,3,36.630875583140096,4,31.32617511662802,476.7842822812823,476.7842822812823,1,0,0,1
w6_persistent_bearing,min_reff,10005,17,dir,1721.325967,2606.260004,884.9340370000002,9,8,4,4,1054.069150870758,2,252.8138301741516,273.6399328669788,500.0,7,0,0,1
w6_persistent_bearing,min_reff,10005,18,omni,107.0,4156.640886,4049.640886,9,7,1,6,0.0,7,42.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10005,19,dir,427.0,3457.539545,3030.539545,9,8,1,7,120.31838973049044,8,72.0636779460981,473.3340193320843,473.3340193320843,1,0,0,1
w6_persistent_bearing,min_reff,10006,1,omni,1415.508225,2844.165878,1428.6576529999998,4,3,2,1,574.7788776887184,2,131.95577553774368,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10006,2,dir,11.0,992.098564,981.098564,3,1,1,0,561.1789251146306,1,118.23578502292612,457.66838959819336,457.66838959819336,1,0,0,1
w6_persistent_bearing,min_reff,10006,3,dir,1421.508225,3265.558708,1844.050483,8,7,1,6,1151.7403489117526,4,269.34806978235054,500.0,500.0,3,0,0,1
w6_persistent_bearing,min_reff,10006,5,dir,2992.248559,3583.341814,591.0932549999998,10,9,3,6,1319.6143333595405,0,308.9228666719081,295.95318375832596,500.0,9,0,0,1
w6_persistent_bearing,min_reff,10006,6,dir,7232.840441,7681.796366,448.9559249999993,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10006,7,dir,41.0,1719.453179,1678.453179,7,6,4,2,851.6234929936068,3,203.32469859872134,176.38035693999504,500.0,4,0,0,1
w6_persistent_bearing,min_reff,10006,16,omni,1823.073292,2353.127896,530.0546039999999,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10006,17,dir,4544.90581,4811.885236,266.9794259999999,3,2,2,0,371.48031612446783,0,84.29606322489357,262.68670991181693,500.0,2,0,0,1
w6_persistent_bearing,min_reff,10006,18,dir,107.0,1183.965274,1076.965274,10,9,2,7,1096.323686588675,2,266.264737317735,328.125,500.0,8,0,0,1
w6_persistent_bearing,min_reff,10006,19,dir,5481.282201,7918.152251,2436.8700500000004,9,7,1,6,969.9999999999999,6,234.99999999999997,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10006,20,omni,1805.073292,7058.988246,5253.914954,18,16,2,14,5552.9220158989565,14,1204.5844031797913,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,3,omni,769.822613,4208.265273,3438.4426599999997,10,9,2,7,0.0,9,54.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,4,omni,998.822613,1511.959677,513.137064,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,5,dir,29.0,592.987032,563.987032,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,6,dir,5358.283349,6179.632489,821.3491399999994,7,5,2,3,1454.6181595522783,1,316.92363191045564,450.0,500.0,5,0,0,1
w6_persistent_bearing,min_reff,10007,7,omni,1010.822613,3467.07785,2456.2552370000003,6,5,2,3,0.0,5,30.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,8,dir,745.822613,4660.347129,3914.5245159999995,16,15,5,10,1419.0346149725713,11,369.80692299451425,186.9911884543245,500.0,5,0,0,1
w6_persistent_bearing,min_reff,10007,9,dir,739.822613,1191.971694,452.149081,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,10,dir,1423.012894,2411.669228,988.6563340000002,8,7,3,4,1285.318177342459,2,294.0636354684918,286.72021603220225,500.0,6,0,0,1
w6_persistent_bearing,min_reff,10007,11,omni,727.822613,4175.77521,3447.9525969999995,10,9,2,7,0.0,9,54.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,16,omni,5328.283349,5825.462885,497.17953599999964,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10007,18,dir,1375.012894,3236.221949,1861.2090550000003,14,13,2,11,1964.3822590632851,7,464.876451812657,301.0291671605423,500.0,8,0,0,1
w6_persistent_bearing,min_reff,10007,19,omni,679.822613,3833.720068,3153.8974550000003,8,6,1,5,0.0,6,36.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,2,dir,3083.781874,3612.980915,529.1990410000003,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,3,omni,833.828883,1813.40177,979.5728869999999,3,2,1,1,0.0,2,12.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,9,omni,869.828883,1883.780586,1013.9517030000001,3,2,1,1,0.0,2,12.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,10,dir,59.0,628.981323,569.981323,4,3,3,0,784.4192388228054,1,172.88384776456107,271.35681853820194,500.0,3,0,0,1
w6_persistent_bearing,min_reff,10008,11,dir,2045.652027,2301.215185,255.56315799999993,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,12,dir,4981.918081,6323.305459,1341.3873780000004,7,5,5,0,1898.191181392405,1,405.63823627848103,158.75513504893792,409.91660467108227,5,0,0,1
w6_persistent_bearing,min_reff,10008,15,omni,348.0,1114.351902,766.3519020000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,16,omni,4015.897673,5514.527717,1498.630044,5,4,2,2,0.0,4,24.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,18,dir,4951.918081,5600.287822,648.3697410000004,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,19,dir,4665.907877,5307.401845,641.4939680000007,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10008,20,dir,318.0,5910.111318,5592.111318,19,17,1,16,5942.9354856089685,15,1288.5870971217937,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,1,dir,5.0,5048.534652,5043.534652,15,14,2,12,5241.660111644386,12,1130.3320223288772,414.9857283944946,414.9857283944946,1,0,0,1
w6_persistent_bearing,min_reff,10009,4,dir,23.0,2236.745456,2213.745456,6,5,1,4,0.0,5,30.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,5,omni,408.0,1085.383309,677.383309,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,7,dir,1264.832488,1626.967969,362.135481,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,8,dir,3286.911576,3629.006069,342.09449300000006,3,2,2,0,536.9602874381093,0,117.39205748762186,262.108878735707,500.0,2,0,0,1
w6_persistent_bearing,min_reff,10009,10,omni,1834.702049,2365.310779,530.6087299999999,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,12,omni,71.0,5112.387387,5041.387387,15,14,2,12,156.6018509977655,14,115.3203701995531,488.33778763325165,488.33778763325165,1,0,0,1
w6_persistent_bearing,min_reff,10009,14,omni,5238.898634,6012.482934,773.5842999999995,4,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,16,dir,5226.898634,5431.108584,204.20994999999948,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,min_reff,10009,17,dir,336.0,1054.292503,718.2925029999999,8,7,4,3,1325.687162157051,1,301.1374324314102,272.4400911945055,500.0,7,0,0,1
w6_persistent_bearing,min_reff,10009,18,dir,2113.542441,4063.226637,1949.6841960000002,9,8,2,6,840.2554183700245,6,214.0510836740049,382.4381409388916,437.07216107301895,4,0,0,1
w6_persistent_bearing,min_reff,10009,20,dir,119.0,1967.515715,1848.515715,6,5,2,3,1799.5966061961435,4,388.9193212392287,182.35071305216826,182.35071305216826,1,0,0,1
w6_persistent_bearing,collinear,10000,1,dir,5.0,3932.167077,3927.167077,12,11,4,7,3471.9012165189197,9,758.3802433037839,500.0,500.0,2,0,0,1
w6_persistent_bearing,collinear,10000,2,dir,3377.427139,3808.893668,431.46652900000026,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,3,omni,17.0,1194.495571,1177.495571,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,4,dir,1612.867005,4058.906169,2446.039164,10,9,3,6,392.87583495547483,8,131.57516699109496,500.0,500.0,1,0,0,1
w6_persistent_bearing,collinear,10000,5,dir,29.0,922.477385,893.477385,2,1,1,0,0.9162977290761457,1,6.183259545815229,500.0,500.0,1,0,0,1
w6_persistent_bearing,collinear,10000,6,omni,35.0,1379.920317,1344.920317,5,4,4,0,749.0380217888528,2,171.80760435777057,165.8806122263022,500.0,4,0,0,1
w6_persistent_bearing,collinear,10000,7,omni,396.0,759.713829,363.71382900000003,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,9,dir,53.0,609.25117,556.25117,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,10,omni,59.0,476.878728,417.878728,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,13,dir,3714.437343,4220.612193,506.1748499999999,4,3,2,1,694.1227535550474,1,154.8245507110095,340.69471311667456,500.0,3,0,0,1
w6_persistent_bearing,collinear,10000,14,dir,1582.867005,1889.928698,307.0616929999999,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,16,dir,95.0,1935.505944,1840.505944,12,11,5,6,1439.8995131351717,4,346.97990262703433,275.0,500.0,10,0,0,1
w6_persistent_bearing,collinear,10000,17,dir,3335.427139,3878.450127,543.0229880000002,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10000,19,omni,113.0,1149.45813,1036.45813,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10001,1,dir,5.0,5914.665458,5909.665458,23,22,4,18,6661.205409082889,18,1460.2410818165777,302.5679963931321,500.0,4,0,0,1
w6_persistent_bearing,collinear,10001,2,omni,11.0,3559.284283,3548.284283,14,13,5,8,373.98306258325914,9,148.79661251665183,174.29046757384828,500.0,5,0,0,1
w6_persistent_bearing,collinear,10001,3,dir,17.0,1739.335758,1722.335758,7,6,2,4,219.47577943458992,5,78.89515588691799,294.0880853211784,500.0,2,0,0,1
w6_persistent_bearing,collinear,10001,4,omni,23.0,1759.175992,1736.175992,5,3,1,2,0.0,3,18.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10001,5,dir,408.0,1677.599778,1269.599778,7,6,4,2,601.8575405503113,4,154.37150811006228,200.61918018343712,343.8331529480236,3,0,0,1
w6_persistent_bearing,collinear,10001,8,dir,5604.05429,5755.596214,151.5419240000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10001,9,dir,384.0,3411.824656,3027.824656,12,11,4,7,994.9789900747978,8,261.9957980149596,238.7623871940171,500.0,4,0,0,1
w6_persistent_bearing,collinear,10001,14,omni,83.0,5983.711362,5900.711362,19,17,5,12,0.0,17,102.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10001,16,dir,2038.994006,2758.984661,719.9906550000001,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
w6_persistent_bearing,collinear,10001,17,dir,3689.88058,5816.450882,2126.570302,10,9,4,5,500.0,9,154.0,500.0,500.0,1,0,0,1
w6_persistent_bearing,collinear,10001,18,omni,107.0,3174.097007,3067.097007,9,7,2,5,0.0,7,42.0,0.0,0.0,0,0,0,1
