version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,guaranteed_clear_attempts,guaranteed_clear_successes,guaranteed_clear_failures,certificate_ready_channels_at_exit
w6_persistent_bearing,27,4,min_reff,10003,1,16,16,16,4,12,6322.14762,395.13422625,23895.73811196477,4779.147622392954,248,1240.0,223,223.0,16,0,80.0,1,-2.392954229435418e-06,3.6273415419999964,,16,16,0,0,75,26,60,4,0,18,0,all_resolved,11410.905282495483,75,56,2713.1810564990965,3608.9665635009032,21,9,0,0,21,15,15,0,[]
w6_persistent_bearing,27,4,min_reff,10004,1,14,14,14,2,12,8400.405895,600.0289925,31112.029473366194,6222.405894673238,357,1785.0,323,323.0,14,0,70.0,2,3.267614374635741e-07,1.0777611669999985,,14,14,0,0,95,26,82,4,0,25,0,all_resolved,9811.08174466679,95,64,2501.216348933358,5899.189546066642,18,18,0,0,18,12,12,0,[]
w6_persistent_bearing,27,4,min_reff,10005,1,16,16,16,6,10,5687.772042,355.485752625,21428.860208431965,4285.772041686393,226,1130.0,192,192.0,16,0,80.0,1,3.136065060971305e-07,3.2436925000000016,,16,16,0,0,104,33,86,6,0,10,0,all_resolved,10389.705827156882,104,77,2674.9411654313762,3012.8308765686234,28,9,0,0,28,15,15,0,[]
w6_persistent_bearing,27,4,min_reff,10006,1,11,11,11,3,8,7918.152251,719.8320228181818,27965.76125036653,5593.152250073306,384,1920.0,350,350.0,11,0,55.0,0,9.266941560781561e-07,1.1465959160000025,,11,11,0,0,60,18,51,3,0,25,0,all_resolved,12449.66199668035,60,32,2821.93239933607,5096.219851663931,12,15,0,0,12,11,11,0,[]
w6_persistent_bearing,27,4,min_reff,10007,1,12,12,12,6,6,7174.362554,597.8635461666667,25051.812761733116,5010.3625523466235,355,1775.0,329,329.0,12,0,60.0,0,1.6533767848159187e-06,1.2778526669999977,,12,12,0,0,69,19,58,4,0,25,0,all_resolved,6123.353210930594,69,50,1619.6706421861188,5554.691911813881,12,12,0,0,12,12,12,0,[]
w6_persistent_bearing,27,4,min_reff,10008,1,11,11,11,4,7,7002.522534,636.5929576363636,23527.612676699668,4705.522535339934,376,1880.0,362,362.0,11,0,55.0,0,-1.3399339877651073e-06,1.423558333999999,,11,11,0,0,33,13,26,1,0,25,0,all_resolved,8625.545905824178,33,25,1915.1091811648355,5087.413352835164,8,0,0,0,8,11,11,0,[]
w6_persistent_bearing,27,4,min_reff,10009,1,12,12,12,4,8,7110.548859,592.54573825,25142.744280979012,5028.548856195803,340,1700.0,322,322.0,12,0,60.0,0,2.8041977202519774e-06,1.8176323329999988,,12,12,0,0,55,15,47,3,0,25,0,all_resolved,9900.761436803481,55,42,2297.1522873606964,4813.396571639304,10,6,0,0,10,12,12,0,[]
w6_persistent_bearing,27,4,collinear,10000,1,14,14,14,5,9,6505.008914,464.64349385714286,24635.044568947036,4927.008913789407,255,1275.0,233,233.0,14,0,70.0,0,2.1059258870081976e-07,4.410635332999995,,14,14,0,0,39,19,26,2,0,25,0,all_resolved,6748.753637682544,39,25,1569.7507275365087,4935.258186463491,14,7,0,0,14,14,14,0,[]
w6_persistent_bearing,27,4,collinear,10001,1,12,12,12,4,8,6935.820785,577.9850654166667,23109.103911816488,4621.820782363297,379,1895.0,359,359.0,12,0,60.0,0,2.6367024474893697e-06,1.4247585840000028,,12,12,0,0,94,31,72,4,0,25,0,all_resolved,9351.500781725848,94,80,2420.30015634517,4515.52062865483,19,0,0,0,19,12,12,0,[]
w6_persistent_bearing,27,4,collinear,10002,1,13,13,13,2,11,7522.111867,578.6239897692308,25360.559349634244,5072.111869926849,400,2000.0,385,385.0,13,0,65.0,0,-2.9268494472489692e-06,2.1630306249999975,,13,13,0,0,169,29,153,11,0,25,0,all_resolved,8664.494319193347,169,160,2737.8988638386695,4784.213003161331,8,9,0,0,8,13,13,0,[]
w6_persistent_bearing,27,4,collinear,10003,1,16,16,16,4,12,5543.533719,346.4708574375,20777.668602501173,4155.533720500234,225,1125.0,183,183.0,16,0,80.0,0,-1.5002342479419895e-06,3.257221792000003,,16,16,0,0,84,40,57,3,0,15,0,all_resolved,13892.282121701266,84,44,3242.4564243402533,2301.0772946597467,33,17,0,0,33,16,16,0,[]
w6_persistent_bearing,27,4,collinear,10004,1,14,14,14,2,12,7028.792531,502.05660935714286,26253.96265142971,5250.792530285942,289,1445.0,263,263.0,14,0,70.0,0,7.140579327824526e-07,1.9072596250000018,,14,14,0,0,58,30,39,0,0,25,0,all_resolved,6580.9454779773905,58,39,1645.1890955954782,5383.603435404522,25,6,0,0,25,14,14,0,[]
w6_persistent_bearing,27,4,collinear,10005,1,16,16,16,6,10,5360.566251,335.0353906875,18607.831238878247,3721.5662477756496,262,1310.0,249,249.0,16,0,80.0,1,3.2243506211671047e-06,3.4640901660000054,,16,16,0,0,87,27,72,5,0,16,0,all_resolved,5203.808490050051,87,77,1552.7616980100102,3807.80455298999,16,3,0,0,16,15,15,0,[]
w6_persistent_bearing,27,4,collinear,10006,1,11,11,11,3,8,7521.139874,683.7399885454546,26065.699356036515,5213.139871207303,378,1890.0,363,363.0,11,0,55.0,0,2.7926971597480588e-06,3.8394124999999946,,11,11,0,0,97,17,87,5,0,25,0,all_resolved,15251.202819094517,97,84,3619.2405638189034,3901.899310181097,5,8,0,0,5,11,11,0,[]
w6_persistent_bearing,27,4,collinear,10007,1,12,12,12,6,6,6182.38352,515.1986266666667,22391.917593188486,4478.383518637697,277,1385.0,259,259.0,12,0,60.0,0,1.3623030099552125e-06,5.6421111660000065,,12,12,0,0,38,21,23,2,0,25,0,all_resolved,2973.0349569508503,38,27,811.60699139017,5370.77652860983,15,0,0,0,15,12,12,0,[]
w6_persistent_bearing,27,4,collinear,10008,1,11,11,11,4,7,7350.360999,668.2146362727273,25936.80498909475,5187.360997818951,357,1785.0,323,323.0,11,0,55.0,0,1.1810498108388856e-06,1.2943944999999957,,11,11,0,0,82,22,70,3,0,25,0,all_resolved,13020.30289914879,82,54,3068.060579829758,4282.300419170242,15,20,0,0,15,11,11,0,[]
w6_persistent_bearing,27,4,collinear,10009,1,12,12,12,4,8,7307.355455,608.9462879166666,26031.77726274444,5206.355452548888,345,1725.0,316,316.0,12,0,60.0,0,2.4511118681402877e-06,3.231978666999993,,12,12,0,0,77,22,63,4,0,25,0,all_resolved,5528.256481780329,77,55,1545.6512963560658,5761.704158643934,15,15,0,0,15,12,12,0,[]
